field_name,chinese_name,field_group,required_level,data_type,allowed_values,fill_rule,example,notes
graph_version,图谱版本,基础标识,R1,string,,填写当前图谱规范或数据版本,V0.1,用于版本追踪
node_id,节点ID,基础标识,R1,string,,必须稳定唯一且不可复用,P2T3-N05,遵守节点ID规则
node_name,节点后台名称,基础标识,R1,string,,使用专业但简洁的后台名称,判断移动性/邻区异常,后台字段不是学生端标题
node_layer,节点层级,层级与结构,R1,enum,basis;job_process;ability_unit;project_task;detail_capability;resource_activity;assessment,必须使用枚举,detail_capability,替代自然语言层级
node_status,节点状态,基础标识,R1,enum,draft;trial_split;baseline;review_ready;review_passed;revision_required;disabled;deprecated,标明节点当前生产状态,trial_split,不同于审核状态
sort_order,排序号,层级与结构,R2,integer,,同层级内排序,5,用于前端和图谱展示
parent_node_id,父节点ID,层级与结构,R2,string,,填写直属上级节点ID,AU-03,没有上级时填not_applicable
job_process_id,岗位工作过程ID,层级与结构,R1,enum,JP-01;JP-02;JP-03;JP-04;JP-05;JP-06;JP-07,详细节点和能力单元必须填写,JP-03,basis层可填not_applicable
ability_unit_id,能力单元ID,层级与结构,R1,enum,AU-01;AU-02;AU-03;AU-04;AU-05;AU-06;AU-07;AU-08;AU-09;AU-10,详细节点必须填写,AU-03,可多值时用英文分号
prerequisite_node_ids,前置节点ID,层级与结构,R1,string,,填写前置能力节点ID并用英文分号分隔,P2T3-N03;P2T3-N04,无前置时填none并说明
next_node_ids,后续节点ID,层级与结构,R1,string,,填写后续能力节点ID并用英文分号分隔,P4T2-N04;P4T2-N07,无后续时填none并说明
relation_types,关系类型,层级与结构,R2,enum,aligns_to;requires;contains;supports;assesses;evidenced_by;remediates;extends;generated_from;needs_review;precedes;maps_to_task,与前置后续或资源评价关系配套填写,requires;supports,后续可拆成关系表
source_type,来源类型,标准与来源,R1,enum,original_textbook;course_standard;professional_standard;vocational_skill_standard;digital_textbook_standard;policy_document;trusted_web_source;ai_inference;teaching_simulation;expert_review,可多选并用英文分号分隔,original_textbook;professional_standard,AI生成必须显式标注
source_ref_id,来源引用ID,标准与来源,R2,string,,引用本地文件或资料编号,textbook:P2-T3,可对应资料库
standard_clause_id,标准条款ID,标准与来源,R2,string,,填写具体标准条款或暂填pending,pending,正式发布前应补齐
original_material_ref,原教材位置,标准与来源,R2,string,,填写原教材章节/行号/页码,P2-T3 lines 9294-9637,便于回溯
policy_basis_summary,政策或标准依据摘要,标准与来源,R2,string,,一句话说明依据,数字教材节点需关联资源活动评价,不要粘贴长篇原文
project_id,项目ID,教材任务映射,R1,string,,填写P1至P6,P2,basis和JP层可填not_applicable
project_title,项目名称,教材任务映射,R2,string,,填写教材项目名称,项目二：5G网络测试,建议与任务清单一致
task_id,任务ID,教材任务映射,R1,string,,填写任务ID,P2-T3,非任务层节点可填关联任务列表
task_title,任务名称,教材任务映射,R2,string,,填写教材任务名称,任务3 5G网络测试数据分析,保持任务清单口径
related_task_ids,关联任务ID,教材任务映射,R1,string,,可多值并用英文分号分隔,P2-T3;P4-T2,体现跨任务关系
capability_goal,后台能力目标,学习目标与表达,R1,string,,用可评价的能力目标表述,能根据测量报告和切换命令判断邻区或切换问题,避免抽象口号
student_title,学生端标题,学习目标与表达,R1,string,,转译为学生能理解的标题,判断是不是切换或邻区出了问题,不得直接暴露后台字段
student_learning_goal,学生学习目标,学习目标与表达,R1,string,,说明学生本节点要学会什么,我能看懂哪些数据说明切换异常,面向学生
