v03_edge_id,source_node_id,source_node_name,target_node_id,target_node_name,relation_raw_type,relation_type,relation_summary,source_task_id,target_task_id,edge_scope,source_file,review_status,display_priority,version_status
EV04-INC-P2T1-001,P2-T1,任务1：DT/CQT测试准备和执行,P2T1-N01,明确DT/CQT测试任务与验收口径,decomposes,任务拆分详细节点,P2-T1补拆进入测试任务和验收口径确认节点。,P2-T1,P2-T1,v04_increment,reports/P2-T1基于V0.4主数据补拆验证报告.md,内部试拆,1,current
EV04-INC-P2T1-002,P2-T1,任务1：DT/CQT测试准备和执行,P2T1-N02,准备测试资料、工具设备与入场许可,decomposes,任务拆分详细节点,P2-T1补拆进入资料、工具、设备和许可准备节点。,P2-T1,P2-T1,v04_increment,reports/P2-T1基于V0.4主数据补拆验证报告.md,内部试拆,1,current
EV04-INC-P2T1-003,P2-T1,任务1：DT/CQT测试准备和执行,P2T1-N03,配置测试软硬件并完成连通性检查,decomposes,任务拆分详细节点,P2-T1补拆进入测试软硬件配置和连通性检查节点。,P2-T1,P2-T1,v04_increment,reports/P2-T1基于V0.4主数据补拆验证报告.md,内部试拆,1,current
EV04-INC-P2T1-004,P2-T1,任务1：DT/CQT测试准备和执行,P2T1-N04,规划DT路线与CQT测试场景,decomposes,任务拆分详细节点,P2-T1补拆进入DT路线和CQT场景规划节点。,P2-T1,P2-T1,v04_increment,reports/P2-T1基于V0.4主数据补拆验证报告.md,内部试拆,1,current
EV04-INC-P2T1-005,P2-T1,任务1：DT/CQT测试准备和执行,P2T1-N05,执行DT路测采集并记录异常事件,decomposes,任务拆分详细节点,P2-T1补拆进入DT路测采集和异常事件记录节点。,P2-T1,P2-T1,v04_increment,reports/P2-T1基于V0.4主数据补拆验证报告.md,内部试拆,1,current
EV04-INC-P2T1-006,P2-T1,任务1：DT/CQT测试准备和执行,P2T1-N06,执行CQT定点业务测试并记录质量,decomposes,任务拆分详细节点,P2-T1补拆进入CQT定点业务测试和质量记录节点。,P2-T1,P2-T1,v04_increment,reports/P2-T1基于V0.4主数据补拆验证报告.md,内部试拆,1,current
EV04-INC-P2T1-007,P2-T1,任务1：DT/CQT测试准备和执行,P2T1-N07,保存测试LOG并移交测试资料包,decomposes,任务拆分详细节点,P2-T1补拆进入测试LOG保存和资料包移交节点。,P2-T1,P2-T1,v04_increment,reports/P2-T1基于V0.4主数据补拆验证报告.md,内部试拆,1,current
EV04-INC-P2T1-008,P2T1-N01,明确DT/CQT测试任务与验收口径,P2T1-N02,准备测试资料、工具设备与入场许可,precedes,直接递进,先明确测试任务和口径，再准备资料、工具、设备和许可。,P2-T1,P2-T1,v04_increment,reports/P2-T1基于V0.4主数据补拆验证报告.md,内部试拆,1,current
EV04-INC-P2T1-009,P2T1-N02,准备测试资料、工具设备与入场许可,P2T1-N03,配置测试软硬件并完成连通性检查,precedes,直接递进,资料、工具和许可准备完成后才能配置测试设备和软件。,P2-T1,P2-T1,v04_increment,reports/P2-T1基于V0.4主数据补拆验证报告.md,内部试拆,1,current
EV04-INC-P2T1-010,P2T1-N03,配置测试软硬件并完成连通性检查,P2T1-N04,规划DT路线与CQT测试场景,supports,支撑判断,设备和软件连通性影响可执行测试路线和场景规划。,P2-T1,P2-T1,v04_increment,reports/P2-T1基于V0.4主数据补拆验证报告.md,待专业复核,2,current
