asset_id,asset_name,asset_type,source_or_output,governance_role,graph_binding,review_status,current_use,next_action,path
A-V036-INC-P3T2-001,P3-T2基于V0.3.6主数据补拆验证报告,governance_report,output,说明P3-T2为什么拆、拆成哪些节点、如何接入V0.3.6和V0.4风险治理,P3-T2;P3T2-N01-P3T2-N06,internal_review,作为P3-T2受控补拆验证依据,完成结构校验和内部评审后再判断是否短复核,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/reports/P3-T2基于V0.3.6主数据补拆验证报告.md
A-V036-INC-P3T2-002,P3-T2详细能力节点主数据增量样表V0.3.6,csv_output,output,记录P3-T2本轮6个详细能力节点候选,P3T2-N01-P3T2-N06,internal_review,作为节点增量候选表,结构校验通过后进入内部评审,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/reports/P3-T2详细能力节点主数据增量样表V0.3.6.csv
A-V036-INC-P3T2-003,P3-T2关系增量样表V0.3.6,csv_output,output,记录P3-T2内部递进、支撑判断、后续分流和能力挂接关系,P3-T2;P3T2-N01-P3T2-N06;AU-04,internal_review,作为关系增量候选表,检查端点是否存在并保留跨任务关系复核,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/reports/P3-T2关系增量样表V0.3.6.csv
A-V036-INC-P3T2-004,P3-T2资源活动评价挂接增量样表V0.3.6,csv_output,output,记录P3-T2资源卡、学习活动、评价产出和媒体审查对象,P3T2-N01-P3T2-N06,internal_review,作为资源活动评价候选表,后续需按资源治理和教材正文生产进一步细化,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/reports/P3-T2资源活动评价挂接增量样表V0.3.6.csv
A-V036-INC-P3T2-005,P3-T2输入输出物治理增量记录V0.3.6,csv_output,output,记录本轮P3-T2补拆输入和输出资产,P3-T2,internal_review,作为资产治理增量记录,同步治理层资产总表,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/reports/P3-T2输入输出物治理增量记录V0.3.6.csv
A-V036-INC-P3T2-006,P3-T2风险治理扩展增量样表V0.4,csv_output,output,记录P3-T2账号、日志、告警、指标、案例和截图的V0.4风险字段,P3-T2;P3T2-N01-P3T2-N06,internal_review,作为V0.4风险治理候选表,结构校验后进入内部评审,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/reports/P3-T2风险治理扩展增量样表V0.4.csv
A-V036-INC-P3T2-007,P3-T2增量结构校验记录V0.3.6,validation_report,output,记录P3-T2增量样表结构校验结果,P3-T2;P3T2-N01-P3T2-N06,internal_review,作为是否进入内部评审的依据,同步治理层并用于后续短内部复核,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/reports/P3-T2增量结构校验记录V0.3.6.md
A-V036-INC-P3T2-008,P3-T2增量补拆内部评审报告V0.3.6,review_report,output,记录P3-T2受控补拆内部评审结论,P3-T2;P3T2-N01-P3T2-N06,internal_review,作为是否短复核或修订的依据,同步治理层并进入下一步短内部复核,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/reports/P3-T2增量补拆内部评审报告V0.3.6.md
A-V036-INC-P3T2-009,extracted/textbook.md,extracted_text,input_derivative,提供P3-T2原文抽取文本和行号依据,P3-T2,source_available,支撑本轮补拆节点、关系和风险判断,后续如进入正文生产需做段落级引用ID治理,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/extracted/textbook.md
A-V036-INC-P3T2-010,task_inventory.csv,governance_table,input_derivative,提供P3-T2行数、图片数、表格数、测试和案例信号,P3-T2,source_available,支撑本轮任务选择和媒体风险判断,后续继续用于任务类型候选矩阵,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/reports/task_inventory.csv
A-V036-INC-P3T2-011,课程能力图谱主数据V0.3.6,baseline_data,input,作为P3-T2增量校验的当前推荐主数据基线,COURSE-5G-NETOPT;P3-T2,baseline_current,用于检查新增节点、关系端点和挂接对象,不得被本轮增量样表直接覆盖,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/reports/课程能力图谱节点主数据表V0.3.6.csv
A-V036-INC-P3T2-012,P3-T2原教材网管截图image122至image145,media_source,input,记录P3-T2原教材截图媒体风险对象,P3-T2;P3T2-MEDIA01,pending_media_review,仅作为内部分析和媒体审查对象,后续逐张判断保留、重绘、替换、删除或仅内部分析,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/assets/media
A-V036-INC-P3T2-013,P3-T2基于V0.3.6主数据补拆验证实施计划,implementation_plan,input,规定P3-T2受控补拆范围、边界和输出清单,P3-T2,approved_for_execution,作为本轮补拆执行计划,执行完成后与校验和评审结果一起归档治理,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/reports/P3-T2基于V0.3.6主数据补拆验证实施计划.md
