binding_id,node_id,node_name,binding_target_id,binding_target_title,binding_type,project_id,task_id,resource_type,learning_activity_type,student_action,student_output,assessment_output,binding_status,audit_status,risk_level,source_file,notes
BV0311-INC-P3T1-001,P3T1-N01,明确5G网管在网络优化中的作用,P3T1-C01,为什么先认识网管任务情境卡,resource_card,P3,P3-T1,task_card,case_intro;task_definition,阅读任务情境，说明5G网管为什么是后续任务入口。,网管作用说明卡,网管作用说明卡,planned,pending_professional_media_review,medium,reports/P3-T1基于V0.3.11主数据补拆验证实施计划.md;reports/P3-T1基于V0.3.11主数据补拆验证报告.md,计划资源或活动，尚未生产正式资源；需专业复核、媒体重绘、学生正文审查和平台验证。
BV0311-INC-P3T1-002,P3T1-N01,明确5G网管在网络优化中的作用,P3T1-W01,网管作用说明工作单,worksheet,P3,P3-T1,worksheet,task_definition;short_explanation,填写网管支撑网络优化的三个作用。,网管作用说明卡,网管作用说明卡,planned,pending_professional_media_review,medium,reports/P3-T1基于V0.3.11主数据补拆验证实施计划.md;reports/P3-T1基于V0.3.11主数据补拆验证报告.md,计划资源或活动，尚未生产正式资源；需专业复核、媒体重绘、学生正文审查和平台验证。
BV0311-INC-P3T1-003,P3T1-N01,明确5G网管在网络优化中的作用,P3T1-ACT01,网管作用归纳活动,learning_activity,P3,P3-T1,task_card,case_intro;classification,把日常运维、告警、参数、性能和智能化功能归类。,网管作用说明卡,网管作用说明卡,planned,pending_professional_media_review,medium,reports/P3-T1基于V0.3.11主数据补拆验证实施计划.md;reports/P3-T1基于V0.3.11主数据补拆验证报告.md,计划资源或活动，尚未生产正式资源；需专业复核、媒体重绘、学生正文审查和平台验证。
BV0311-INC-P3T1-004,P3T1-N02,识别5G网管架构层次与部署组成,P3T1-R01,5G网管架构层次教学化重绘图,resource_card,P3,P3-T1,diagram,diagram_annotation,标注基础设施、虚拟化平台、网管平台、应用和客户端。,网管架构层次标注图,网管架构层次标注图,planned,pending_professional_media_review,high,reports/P3-T1基于V0.3.11主数据补拆验证实施计划.md;reports/P3-T1基于V0.3.11主数据补拆验证报告.md,计划资源或活动，尚未生产正式资源；需专业复核、媒体重绘、学生正文审查和平台验证。
BV0311-INC-P3T1-005,P3T1-N02,识别5G网管架构层次与部署组成,P3T1-W02,架构层次标注工作单,worksheet,P3,P3-T1,worksheet,diagram_annotation,完成架构层次标注并写出各层作用。,网管架构层次标注图,网管架构层次标注图,planned,pending_professional_media_review,high,reports/P3-T1基于V0.3.11主数据补拆验证实施计划.md;reports/P3-T1基于V0.3.11主数据补拆验证报告.md,计划资源或活动，尚未生产正式资源；需专业复核、媒体重绘、学生正文审查和平台验证。
BV0311-INC-P3T1-006,P3T1-N02,识别5G网管架构层次与部署组成,P3T1-ACT02,架构层次拖拽标注活动,learning_activity,P3,P3-T1,interactive_diagram,diagram_annotation,把IaaS、PaaS、SaaS、TECS和网管应用放到合适层。,网管架构层次标注图,网管架构层次标注图,planned,pending_professional_media_review,high,reports/P3-T1基于V0.3.11主数据补拆验证实施计划.md;reports/P3-T1基于V0.3.11主数据补拆验证报告.md,计划资源或活动，尚未生产正式资源；需专业复核、媒体重绘、学生正文审查和平台验证。
BV0311-INC-P3T1-007,P3T1-N03,区分5G网管软硬件组成与部署边界,P3T1-R02,软硬件组成对照表资源,resource_card,P3,P3-T1,comparison_table,classification,阅读服务器、TECS、虚拟网管平台、APP和客户端对应关系。,软硬件组成对照表,软硬件组成对照表,planned,pending_professional_media_review,high,reports/P3-T1基于V0.3.11主数据补拆验证实施计划.md;reports/P3-T1基于V0.3.11主数据补拆验证报告.md,计划资源或活动，尚未生产正式资源；需专业复核、媒体重绘、学生正文审查和平台验证。
BV0311-INC-P3T1-008,P3T1-N03,区分5G网管软硬件组成与部署边界,P3T1-W03,软硬件组成分类表,worksheet,P3,P3-T1,worksheet,classification,把软硬件组成对象填入部署层。,软硬件组成对照表,软硬件组成对照表,planned,pending_professional_media_review,high,reports/P3-T1基于V0.3.11主数据补拆验证实施计划.md;reports/P3-T1基于V0.3.11主数据补拆验证报告.md,计划资源或活动，尚未生产正式资源；需专业复核、媒体重绘、学生正文审查和平台验证。
BV0311-INC-P3T1-009,P3T1-N03,区分5G网管软硬件组成与部署边界,P3T1-ACT03,部署边界判断活动,learning_activity,P3,P3-T1,comparison_table,boundary_checking,判断哪些对象属于底层资源、平台层、应用层或访问端。,软硬件组成对照表,软硬件组成对照表,planned,pending_professional_media_review,high,reports/P3-T1基于V0.3.11主数据补拆验证实施计划.md;reports/P3-T1基于V0.3.11主数据补拆验证报告.md,计划资源或活动，尚未生产正式资源；需专业复核、媒体重绘、学生正文审查和平台验证。
BV0311-INC-P3T1-010,P3T1-N04,识别5G网管功能组件与管理对象,P3T1-R03,功能组件用途表资源,resource_card,P3,P3-T1,function_table,module_matching,识读系统管理、自运维、智能运维、无线应用和公共应用用途。,功能组件用途表,功能组件用途表,planned,pending_professional_media_review,high,reports/P3-T1基于V0.3.11主数据补拆验证实施计划.md;reports/P3-T1基于V0.3.11主数据补拆验证报告.md,计划资源或活动，尚未生产正式资源；需专业复核、媒体重绘、学生正文审查和平台验证。
