binding_id,node_id,node_name,binding_target_id,binding_target_title,binding_type,project_id,task_id,resource_type,learning_activity_type,student_action,student_output,assessment_output,binding_status,audit_status,risk_level,source_file,notes
BV039-INC-P5T1-001,P5T1-N01,明确全网性能指标采集任务与服务质量问题,P5T1-C01,全网性能指标采集任务情境卡,resource_card,P5,P5-T1,task_card;case_intro,case_intro;task_definition,阅读任务情境，判断本次采集要回答的服务质量问题，并填写采集任务单。,全网指标采集任务单,全网指标采集任务单,planned,pending_professional_media_review,medium,reports/P5-T1基于V0.3.9主数据补拆验证实施计划.md,计划挂接对象，尚未生产正式资源；需专业复核、媒体治理、学生正文审查和平台验证。
BV039-INC-P5T1-002,P5T1-N01,明确全网性能指标采集任务与服务质量问题,P5T1-W01,全网指标采集任务单,worksheet,P5,P5-T1,task_definition,case_intro;task_definition,阅读任务情境，判断本次采集要回答的服务质量问题，并填写采集任务单。,全网指标采集任务单,全网指标采集任务单,planned,pending_professional_media_review,medium,reports/P5-T1基于V0.3.9主数据补拆验证实施计划.md,计划挂接对象，尚未生产正式资源；需专业复核、媒体治理、学生正文审查和平台验证。
BV039-INC-P5T1-003,P5T1-N01,明确全网性能指标采集任务与服务质量问题,全网指标采集任务单,全网指标采集任务单,assessment_output,P5,P5-T1,task_card;worksheet,case_intro;task_definition,阅读任务情境，判断本次采集要回答的服务质量问题，并填写采集任务单。,全网指标采集任务单,全网指标采集任务单,planned,pending_professional_media_review,medium,reports/P5-T1基于V0.3.9主数据补拆验证实施计划.md,评价产出为候选结构，尚未进入正式教学验证。
BV039-INC-P5T1-004,P5T1-N02,区分KPI/PI、指标口径与统计周期,P5T1-C02,KPI/PI与指标口径说明卡,resource_card,P5,P5-T1,concept_card;table,metric_annotation;data_source_selection,把指标名称、公式、统计周期、区域范围和数据源分开记录。,指标口径说明表,指标口径说明表,planned,pending_professional_media_review,high,reports/P5-T1基于V0.3.9主数据补拆验证实施计划.md,计划挂接对象，尚未生产正式资源；需专业复核、媒体治理、学生正文审查和平台验证。
BV039-INC-P5T1-005,P5T1-N02,区分KPI/PI、指标口径与统计周期,P5T1-W02,指标口径说明表,worksheet,P5,P5-T1,metric_annotation,metric_annotation;data_source_selection,把指标名称、公式、统计周期、区域范围和数据源分开记录。,指标口径说明表,指标口径说明表,planned,pending_professional_media_review,high,reports/P5-T1基于V0.3.9主数据补拆验证实施计划.md,计划挂接对象，尚未生产正式资源；需专业复核、媒体治理、学生正文审查和平台验证。
BV039-INC-P5T1-006,P5T1-N02,区分KPI/PI、指标口径与统计周期,指标口径说明表,指标口径说明表,assessment_output,P5,P5-T1,concept_card;table;worksheet,metric_annotation;data_source_selection,把指标名称、公式、统计周期、区域范围和数据源分开记录。,指标口径说明表,指标口径说明表,planned,pending_professional_media_review,high,reports/P5-T1基于V0.3.9主数据补拆验证实施计划.md,评价产出为候选结构，尚未进入正式教学验证。
BV039-INC-P5T1-007,P5T1-N03,采集接入类指标并核对关键计数器,P5T1-C03,接入类指标采集卡,resource_card,P5,P5-T1,metric_table,metric_collection;counter_checking,提取接入类指标，核对口径、时间窗和计数器来源。,接入类指标采集记录,接入类指标采集记录,planned,pending_professional_media_review,high,reports/P5-T1基于V0.3.9主数据补拆验证实施计划.md,计划挂接对象，尚未生产正式资源；需专业复核、媒体治理、学生正文审查和平台验证。
BV039-INC-P5T1-008,P5T1-N03,采集接入类指标并核对关键计数器,P5T1-W03,接入类指标采集记录,worksheet,P5,P5-T1,metric_collection,metric_collection;counter_checking,提取接入类指标，核对口径、时间窗和计数器来源。,接入类指标采集记录,接入类指标采集记录,planned,pending_professional_media_review,high,reports/P5-T1基于V0.3.9主数据补拆验证实施计划.md,计划挂接对象，尚未生产正式资源；需专业复核、媒体治理、学生正文审查和平台验证。
BV039-INC-P5T1-009,P5T1-N03,采集接入类指标并核对关键计数器,接入类指标采集记录,接入类指标采集记录,assessment_output,P5,P5-T1,metric_table;worksheet,metric_collection;counter_checking,提取接入类指标，核对口径、时间窗和计数器来源。,接入类指标采集记录,接入类指标采集记录,planned,pending_professional_media_review,high,reports/P5-T1基于V0.3.9主数据补拆验证实施计划.md,评价产出为候选结构，尚未进入正式教学验证。
BV039-INC-P5T1-010,P5T1-N04,采集保持性与移动性指标,P5T1-C04,保持性与移动性指标采集卡,resource_card,P5,P5-T1,metric_table,metric_collection;comparison_analysis,提取保持性与移动性指标，记录指标口径、数据源和异常提示。,保持/移动性指标采集记录,保持/移动性指标采集记录,planned,pending_professional_media_review,high,reports/P5-T1基于V0.3.9主数据补拆验证实施计划.md,计划挂接对象，尚未生产正式资源；需专业复核、媒体治理、学生正文审查和平台验证。
BV039-INC-P5T1-011,P5T1-N04,采集保持性与移动性指标,P5T1-W04,保持/移动性指标采集记录,worksheet,P5,P5-T1,metric_collection,metric_collection;comparison_analysis,提取保持性与移动性指标，记录指标口径、数据源和异常提示。,保持/移动性指标采集记录,保持/移动性指标采集记录,planned,pending_professional_media_review,high,reports/P5-T1基于V0.3.9主数据补拆验证实施计划.md,计划挂接对象，尚未生产正式资源；需专业复核、媒体治理、学生正文审查和平台验证。
BV039-INC-P5T1-012,P5T1-N04,采集保持性与移动性指标,保持/移动性指标采集记录,保持/移动性指标采集记录,assessment_output,P5,P5-T1,metric_table;worksheet,metric_collection;comparison_analysis,提取保持性与移动性指标，记录指标口径、数据源和异常提示。,保持/移动性指标采集记录,保持/移动性指标采集记录,planned,pending_professional_media_review,high,reports/P5-T1基于V0.3.9主数据补拆验证实施计划.md,评价产出为候选结构，尚未进入正式教学验证。
BV039-INC-P5T1-013,P5T1-N05,采集资源类与可用类指标,P5T1-C05,资源与可用类指标采集卡,resource_card,P5,P5-T1,metric_table,metric_collection;data_reading,提取资源类与可用类指标，记录口径、单位和采集证据。,资源/可用类指标采集记录,资源/可用类指标采集记录,planned,pending_professional_media_review,high,reports/P5-T1基于V0.3.9主数据补拆验证实施计划.md,计划挂接对象，尚未生产正式资源；需专业复核、媒体治理、学生正文审查和平台验证。
BV039-INC-P5T1-014,P5T1-N05,采集资源类与可用类指标,P5T1-W05,资源/可用类指标采集记录,worksheet,P5,P5-T1,data_reading,metric_collection;data_reading,提取资源类与可用类指标，记录口径、单位和采集证据。,资源/可用类指标采集记录,资源/可用类指标采集记录,planned,pending_professional_media_review,high,reports/P5-T1基于V0.3.9主数据补拆验证实施计划.md,计划挂接对象，尚未生产正式资源；需专业复核、媒体治理、学生正文审查和平台验证。
BV039-INC-P5T1-015,P5T1-N05,采集资源类与可用类指标,资源/可用类指标采集记录,资源/可用类指标采集记录,assessment_output,P5,P5-T1,metric_table;worksheet,metric_collection;data_reading,提取资源类与可用类指标，记录口径、单位和采集证据。,资源/可用类指标采集记录,资源/可用类指标采集记录,planned,pending_professional_media_review,high,reports/P5-T1基于V0.3.9主数据补拆验证实施计划.md,评价产出为候选结构，尚未进入正式教学验证。
BV039-INC-P5T1-016,P5T1-N06,采集覆盖、互操作与干扰类指标,P5T1-C06,覆盖互操作干扰指标采集卡,resource_card,P5,P5-T1,map_or_chart;metric_table,metric_collection;evidence_classification,提取覆盖、互操作与干扰指标，标出可能导致未闭环的问题线索。,覆盖/互操作/干扰指标采集记录,覆盖/互操作/干扰指标采集记录,planned,pending_professional_media_review,high,reports/P5-T1基于V0.3.9主数据补拆验证实施计划.md,计划挂接对象，尚未生产正式资源；需专业复核、媒体治理、学生正文审查和平台验证。
BV039-INC-P5T1-017,P5T1-N06,采集覆盖、互操作与干扰类指标,P5T1-W06,覆盖/互操作/干扰指标采集记录,worksheet,P5,P5-T1,evidence_classification,metric_collection;evidence_classification,提取覆盖、互操作与干扰指标，标出可能导致未闭环的问题线索。,覆盖/互操作/干扰指标采集记录,覆盖/互操作/干扰指标采集记录,planned,pending_professional_media_review,high,reports/P5-T1基于V0.3.9主数据补拆验证实施计划.md,计划挂接对象，尚未生产正式资源；需专业复核、媒体治理、学生正文审查和平台验证。
BV039-INC-P5T1-018,P5T1-N06,采集覆盖、互操作与干扰类指标,覆盖/互操作/干扰指标采集记录,覆盖/互操作/干扰指标采集记录,assessment_output,P5,P5-T1,metric_table;map_or_chart;worksheet,metric_collection;evidence_classification,提取覆盖、互操作与干扰指标，标出可能导致未闭环的问题线索。,覆盖/互操作/干扰指标采集记录,覆盖/互操作/干扰指标采集记录,planned,pending_professional_media_review,high,reports/P5-T1基于V0.3.9主数据补拆验证实施计划.md,评价产出为候选结构，尚未进入正式教学验证。
BV039-INC-P5T1-019,P5T1-N07,判断数据质量与采集证据可信度,P5T1-C07,数据质量与证据可信度检查卡,resource_card,P5,P5-T1,checklist,evidence_checking;risk_checking,核对采集证据，填写数据质量检查单。,数据质量检查单,数据质量检查单,planned,pending_professional_media_review,high,reports/P5-T1基于V0.3.9主数据补拆验证实施计划.md,计划挂接对象，尚未生产正式资源；需专业复核、媒体治理、学生正文审查和平台验证。
BV039-INC-P5T1-020,P5T1-N07,判断数据质量与采集证据可信度,P5T1-W07,数据质量检查单,worksheet,P5,P5-T1,evidence_checking,evidence_checking;risk_checking,核对采集证据，填写数据质量检查单。,数据质量检查单,数据质量检查单,planned,pending_professional_media_review,high,reports/P5-T1基于V0.3.9主数据补拆验证实施计划.md,计划挂接对象，尚未生产正式资源；需专业复核、媒体治理、学生正文审查和平台验证。
BV039-INC-P5T1-021,P5T1-N07,判断数据质量与采集证据可信度,数据质量检查单,数据质量检查单,assessment_output,P5,P5-T1,checklist;worksheet;rubric,evidence_checking;risk_checking,核对采集证据，填写数据质量检查单。,数据质量检查单,数据质量检查单,planned,pending_professional_media_review,high,reports/P5-T1基于V0.3.9主数据补拆验证实施计划.md,评价产出为候选结构，尚未进入正式教学验证。
BV039-INC-P5T1-022,P5T1-N08,形成全网指标采集包并连接后续任务,P5T1-C08,全网指标采集包模板,resource_card,P5,P5-T1,report_template,handoff_summary;report_output,汇总采集结果，形成采集包并标明后续任务入口。,全网性能指标采集包,全网性能指标采集包,planned,pending_professional_media_review,medium,reports/P5-T1基于V0.3.9主数据补拆验证实施计划.md,计划挂接对象，尚未生产正式资源；需专业复核、媒体治理、学生正文审查和平台验证。
BV039-INC-P5T1-023,P5T1-N08,形成全网指标采集包并连接后续任务,P5T1-W08,后续任务交接清单,worksheet,P5,P5-T1,handoff_summary,handoff_summary;report_output,汇总采集结果，形成采集包并标明后续任务入口。,全网性能指标采集包,全网性能指标采集包,planned,pending_professional_media_review,medium,reports/P5-T1基于V0.3.9主数据补拆验证实施计划.md,计划挂接对象，尚未生产正式资源；需专业复核、媒体治理、学生正文审查和平台验证。
BV039-INC-P5T1-024,P5T1-N08,形成全网指标采集包并连接后续任务,全网性能指标采集包,全网性能指标采集包,assessment_output,P5,P5-T1,report_template;worksheet;handoff_card,handoff_summary;report_output,汇总采集结果，形成采集包并标明后续任务入口。,全网性能指标采集包,全网性能指标采集包,planned,pending_professional_media_review,medium,reports/P5-T1基于V0.3.9主数据补拆验证实施计划.md,评价产出为候选结构，尚未进入正式教学验证。
