v03_record_id,node_id,node_name,node_layer,parent_node_id,project_id,project_title,task_id,task_title,primary_job_process_id,secondary_job_process_ids,primary_ability_unit_id,secondary_ability_unit_ids,source_type,source_ref_id,source_maturity,student_title,student_learning_goal,student_action,student_output,assessment_output,resource_card_ids,resource_type,learning_activity_type,node_status,audit_status,review_required_type,risk_level,media_handling_status,professional_risk_type,version_status,v03_maturity,source_files,notes
N-V03-0001,COURSE-5G-NETOPT,5G网络优化教材（高级）,course_root,not_applicable,not_applicable,,not_applicable,,not_applicable,,not_applicable,,original_textbook;overall_prototype,5G网络优化教材（高级).docx;overall-0.2,skeleton_from_input,5G网络优化教材（高级）,按项目任务逐步学习网络优化、验证、提升和复盘。,进入课程项目链并选择学习任务。,课程学习记录和任务产出集合,整课学习成果档案,,,,baseline,pending_editorial_review,editorial;professional;platform,medium,,,current,course_skeleton,samples/digital_textbook_overall_prototype/data.js,V0.3根节点，用于统一挂接项目、任务、详细能力节点、资源和生成物。
N-V03-0002,B-01,专业教学标准,basis,COURSE-5G-NETOPT,not_applicable,,not_applicable,,not_applicable,,not_applicable,,policy_document;professional_standard;digital_textbook_standard;ai_inference,reports/课程能力图谱V2优化方案.md,summary_basis,专业教学标准,移动通信网络规划与优化涉及站点勘察、网络测试、数据分析、信令分析、优化方案、优化实施和报告输出。,不直接面向学生，作为课程能力图谱依据层。,not_applicable,not_applicable,,,,baseline,pending_editorial_review,editorial;professional,medium,,,current,basis_summary,samples/course_capability_graph_v2_optimized/data.js,移动通信网络规划与优化涉及站点勘察、网络测试、数据分析、信令分析、优化方案、优化实施和报告输出。
N-V03-0003,B-02,岗位任务,basis,COURSE-5G-NETOPT,not_applicable,,not_applicable,,not_applicable,,not_applicable,,policy_document;professional_standard;digital_textbook_standard;ai_inference,reports/课程能力图谱V2优化方案.md,summary_basis,岗位任务,面向信息通信网络运行、维护、管理与优化，强调分析网络运行状况、提出优化建议、制定方案、评估效果。,不直接面向学生，作为课程能力图谱依据层。,not_applicable,not_applicable,,,,baseline,pending_editorial_review,editorial;professional,medium,,,current,basis_summary,samples/course_capability_graph_v2_optimized/data.js,面向信息通信网络运行、维护、管理与优化，强调分析网络运行状况、提出优化建议、制定方案、评估效果。
N-V03-0004,B-03,数字教材标准,basis,COURSE-5G-NETOPT,not_applicable,,not_applicable,,not_applicable,,not_applicable,,policy_document;professional_standard;digital_textbook_standard;ai_inference,reports/课程能力图谱V2优化方案.md,summary_basis,数字教材标准,资源、题目、实训任务、评价、审核状态和使用数据需要结构化挂接。,不直接面向学生，作为课程能力图谱依据层。,not_applicable,not_applicable,,,,baseline,pending_editorial_review,editorial;professional,medium,,,current,basis_summary,samples/course_capability_graph_v2_optimized/data.js,资源、题目、实训任务、评价、审核状态和使用数据需要结构化挂接。
N-V03-0005,B-04,职业教育关键要素改革,basis,COURSE-5G-NETOPT,not_applicable,,not_applicable,,not_applicable,,not_applicable,,policy_document;professional_standard;digital_textbook_standard;ai_inference,reports/课程能力图谱V2优化方案.md,summary_basis,职业教育关键要素改革,课程能力图谱应按产业环节、生产流程和职业逻辑组织，而不是按传统章节孤立组织。,不直接面向学生，作为课程能力图谱依据层。,not_applicable,not_applicable,,,,baseline,pending_editorial_review,editorial;professional,medium,,,current,basis_summary,samples/course_capability_graph_v2_optimized/data.js,课程能力图谱应按产业环节、生产流程和职业逻辑组织，而不是按传统章节孤立组织。
N-V03-0006,JP-01,明确场景与需求,job_process,B-01;B-04,not_applicable,,P1-T1;P1-T2;P1-T3,,JP-01,,not_applicable,,professional_standard;job_analysis;ai_inference,reports/课程能力图谱V2优化方案.md,job_process_baseline,明确场景与需求,收集站点、场景、投诉和业务需求，判断要解决什么问题。,作为项目任务组织的岗位过程，不单独作为学生任务。,not_applicable,not_applicable,,,,baseline,pending_professional_review,professional;editorial,medium,,,current,job_process_baseline,samples/course_capability_graph_v2_optimized/data.js,关联任务：P1-T1;P1-T2;P1-T3
N-V03-0007,JP-02,组织测试与采集数据,job_process,B-01;B-04,not_applicable,,P2-T1,,JP-02,,not_applicable,,professional_standard;job_analysis;ai_inference,reports/课程能力图谱V2优化方案.md,job_process_baseline,组织测试与采集数据,设计并执行DT/CQT、业务体验和必要专项测试。,作为项目任务组织的岗位过程，不单独作为学生任务。,not_applicable,not_applicable,,,,baseline,pending_professional_review,professional;editorial,medium,,,current,job_process_baseline,samples/course_capability_graph_v2_optimized/data.js,关联任务：P2-T1
N-V03-0008,JP-03,整理数据与识读指标,job_process,B-01;B-03,not_applicable,,P2-T2;P2-T3;P3-T2;P3-T3,,JP-03,,not_applicable,,professional_standard;job_analysis;ai_inference,reports/课程能力图谱V2优化方案.md,job_process_baseline,整理数据与识读指标,处理测试、监控、参数和日志材料，形成可判断的数据基础。,作为项目任务组织的岗位过程，不单独作为学生任务。,not_applicable,not_applicable,,,,baseline,pending_professional_review,professional;editorial,medium,,,current,job_process_baseline,samples/course_capability_graph_v2_optimized/data.js,关联任务：P2-T2;P2-T3;P3-T2;P3-T3
N-V03-0009,JP-04,定位问题与制定方案,job_process,B-01;B-02,not_applicable,,P2-T2;P3-T3;P4-T1,,JP-04,,not_applicable,,professional_standard;job_analysis;ai_inference,reports/课程能力图谱V2优化方案.md,job_process_baseline,定位问题与制定方案,识别覆盖、干扰、切换、容量、体验等问题，并形成优化方案。,作为项目任务组织的岗位过程，不单独作为学生任务。,not_applicable,not_applicable,,,,baseline,pending_professional_review,professional;editorial,medium,,,current,job_process_baseline,samples/course_capability_graph_v2_optimized/data.js,关联任务：P2-T2;P3-T3;P4-T1
N-V03-0010,JP-05,实施优化与记录变更,job_process,B-02,not_applicable,,P3-T4;P4-T1,,JP-05,,not_applicable,,professional_standard;job_analysis;ai_inference,reports/课程能力图谱V2优化方案.md,job_process_baseline,实施优化与记录变更,执行参数、工程、容量或策略优化，并记录实施依据。,作为项目任务组织的岗位过程，不单独作为学生任务。,not_applicable,not_applicable,,,,baseline,pending_professional_review,professional;editorial,medium,,,current,job_process_baseline,samples/course_capability_graph_v2_optimized/data.js,关联任务：P3-T4;P4-T1
