v03_edge_id,source_node_id,source_node_name,target_node_id,target_node_name,relation_raw_type,relation_type,relation_summary,source_task_id,target_task_id,edge_scope,source_file,review_status,display_priority,version_status
EV0310-INC-P5T2-001,P5-T2,任务2：5G全网性能提升实施,P5T2-N01,明确性能提升任务、输入数据和提升目标,decomposes,任务拆分详细节点,P5-T2补拆进入明确性能提升任务、输入数据和提升目标节点。,,P5-T2,v0310_increment,reports/P5-T2基于V0.3.10主数据补拆验证实施计划.md;reports/P5-T2基于V0.3.10主数据补拆验证报告.md,内部试拆,1,candidate
EV0310-INC-P5T2-002,P5-T2,任务2：5G全网性能提升实施,P5T2-N02,使用8维5步法定位性能短板,decomposes,任务拆分详细节点,P5-T2补拆进入使用8维5步法定位性能短板节点。,,P5-T2,v0310_increment,reports/P5-T2基于V0.3.10主数据补拆验证实施计划.md;reports/P5-T2基于V0.3.10主数据补拆验证报告.md,内部试拆,1,candidate
EV0310-INC-P5T2-003,P5-T2,任务2：5G全网性能提升实施,P5T2-N03,制定接入类指标提升方案,decomposes,任务拆分详细节点,P5-T2补拆进入制定接入类指标提升方案节点。,,P5-T2,v0310_increment,reports/P5-T2基于V0.3.10主数据补拆验证实施计划.md;reports/P5-T2基于V0.3.10主数据补拆验证报告.md,内部试拆,1,candidate
EV0310-INC-P5T2-004,P5-T2,任务2：5G全网性能提升实施,P5T2-N04,制定保持类指标提升方案,decomposes,任务拆分详细节点,P5-T2补拆进入制定保持类指标提升方案节点。,,P5-T2,v0310_increment,reports/P5-T2基于V0.3.10主数据补拆验证实施计划.md;reports/P5-T2基于V0.3.10主数据补拆验证报告.md,内部试拆,1,candidate
EV0310-INC-P5T2-005,P5-T2,任务2：5G全网性能提升实施,P5T2-N05,制定移动性指标提升方案,decomposes,任务拆分详细节点,P5-T2补拆进入制定移动性指标提升方案节点。,,P5-T2,v0310_increment,reports/P5-T2基于V0.3.10主数据补拆验证实施计划.md;reports/P5-T2基于V0.3.10主数据补拆验证报告.md,内部试拆,1,candidate
EV0310-INC-P5T2-006,P5-T2,任务2：5G全网性能提升实施,P5T2-N06,制定资源类与可用类指标提升方案,decomposes,任务拆分详细节点,P5-T2补拆进入制定资源类与可用类指标提升方案节点。,,P5-T2,v0310_increment,reports/P5-T2基于V0.3.10主数据补拆验证实施计划.md;reports/P5-T2基于V0.3.10主数据补拆验证报告.md,内部试拆,1,candidate
EV0310-INC-P5T2-007,P5-T2,任务2：5G全网性能提升实施,P5T2-N07,形成实施方案、授权边界和回退要求,decomposes,任务拆分详细节点,P5-T2补拆进入形成实施方案、授权边界和回退要求节点。,,P5-T2,v0310_increment,reports/P5-T2基于V0.3.10主数据补拆验证实施计划.md;reports/P5-T2基于V0.3.10主数据补拆验证报告.md,内部试拆,1,candidate
EV0310-INC-P5T2-008,P5-T2,任务2：5G全网性能提升实施,P5T2-N08,在教学仿真环境执行参数调整并记录证据,decomposes,任务拆分详细节点,P5-T2补拆进入在教学仿真环境执行参数调整并记录证据节点。,,P5-T2,v0310_increment,reports/P5-T2基于V0.3.10主数据补拆验证实施计划.md;reports/P5-T2基于V0.3.10主数据补拆验证报告.md,内部试拆,1,candidate
EV0310-INC-P5T2-009,P5-T2,任务2：5G全网性能提升实施,P5T2-N09,输出实施记录并交接P5-T3验证,decomposes,任务拆分详细节点,P5-T2补拆进入输出实施记录并交接P5-T3验证节点。,,P5-T2,v0310_increment,reports/P5-T2基于V0.3.10主数据补拆验证实施计划.md;reports/P5-T2基于V0.3.10主数据补拆验证报告.md,内部试拆,1,candidate
EV0310-INC-P5T2-010,P5T2-N01,明确性能提升任务、输入数据和提升目标,P5T2-N02,使用8维5步法定位性能短板,precedes,直接递进,先明确提升任务和输入数据，再用8维5步法定位短板。,P5-T2,P5-T2,v0310_increment,reports/P5-T2基于V0.3.10主数据补拆验证实施计划.md;reports/P5-T2基于V0.3.10主数据补拆验证报告.md,内部试拆,1,candidate
EV0310-INC-P5T2-011,P5T2-N02,使用8维5步法定位性能短板,P5T2-N03,制定接入类指标提升方案,supports,分支方案,短板分析完成后，进入对应指标类别提升方案制定。,P5-T2,P5-T2,v0310_increment,reports/P5-T2基于V0.3.10主数据补拆验证实施计划.md;reports/P5-T2基于V0.3.10主数据补拆验证报告.md,内部试拆,2,candidate
EV0310-INC-P5T2-012,P5T2-N02,使用8维5步法定位性能短板,P5T2-N04,制定保持类指标提升方案,supports,分支方案,短板分析完成后，进入对应指标类别提升方案制定。,P5-T2,P5-T2,v0310_increment,reports/P5-T2基于V0.3.10主数据补拆验证实施计划.md;reports/P5-T2基于V0.3.10主数据补拆验证报告.md,内部试拆,2,candidate
EV0310-INC-P5T2-013,P5T2-N02,使用8维5步法定位性能短板,P5T2-N05,制定移动性指标提升方案,supports,分支方案,短板分析完成后，进入对应指标类别提升方案制定。,P5-T2,P5-T2,v0310_increment,reports/P5-T2基于V0.3.10主数据补拆验证实施计划.md;reports/P5-T2基于V0.3.10主数据补拆验证报告.md,内部试拆,2,candidate
EV0310-INC-P5T2-014,P5T2-N02,使用8维5步法定位性能短板,P5T2-N06,制定资源类与可用类指标提升方案,supports,分支方案,短板分析完成后，进入对应指标类别提升方案制定。,P5-T2,P5-T2,v0310_increment,reports/P5-T2基于V0.3.10主数据补拆验证实施计划.md;reports/P5-T2基于V0.3.10主数据补拆验证报告.md,内部试拆,2,candidate
EV0310-INC-P5T2-015,P5T2-N03,制定接入类指标提升方案,P5T2-N07,形成实施方案、授权边界和回退要求,supports,方案汇总,分项提升方案需要汇总为可审查的实施方案、授权边界和回退要求。,P5-T2,P5-T2,v0310_increment,reports/P5-T2基于V0.3.10主数据补拆验证实施计划.md;reports/P5-T2基于V0.3.10主数据补拆验证报告.md,内部试拆,2,candidate
EV0310-INC-P5T2-016,P5T2-N04,制定保持类指标提升方案,P5T2-N07,形成实施方案、授权边界和回退要求,supports,方案汇总,分项提升方案需要汇总为可审查的实施方案、授权边界和回退要求。,P5-T2,P5-T2,v0310_increment,reports/P5-T2基于V0.3.10主数据补拆验证实施计划.md;reports/P5-T2基于V0.3.10主数据补拆验证报告.md,内部试拆,2,candidate
EV0310-INC-P5T2-017,P5T2-N05,制定移动性指标提升方案,P5T2-N07,形成实施方案、授权边界和回退要求,supports,方案汇总,分项提升方案需要汇总为可审查的实施方案、授权边界和回退要求。,P5-T2,P5-T2,v0310_increment,reports/P5-T2基于V0.3.10主数据补拆验证实施计划.md;reports/P5-T2基于V0.3.10主数据补拆验证报告.md,内部试拆,2,candidate
EV0310-INC-P5T2-018,P5T2-N06,制定资源类与可用类指标提升方案,P5T2-N07,形成实施方案、授权边界和回退要求,supports,方案汇总,分项提升方案需要汇总为可审查的实施方案、授权边界和回退要求。,P5-T2,P5-T2,v0310_increment,reports/P5-T2基于V0.3.10主数据补拆验证实施计划.md;reports/P5-T2基于V0.3.10主数据补拆验证报告.md,内部试拆,2,candidate
EV0310-INC-P5T2-019,P5T2-N07,形成实施方案、授权边界和回退要求,P5T2-N08,在教学仿真环境执行参数调整并记录证据,precedes,直接递进,实施方案和授权边界明确后，才能在教学仿真环境执行示例参数调整。,P5-T2,P5-T2,v0310_increment,reports/P5-T2基于V0.3.10主数据补拆验证实施计划.md;reports/P5-T2基于V0.3.10主数据补拆验证报告.md,内部试拆,1,candidate
EV0310-INC-P5T2-020,P5T2-N08,在教学仿真环境执行参数调整并记录证据,P5T2-N09,输出实施记录并交接P5-T3验证,precedes,直接递进,教学仿真实施记录完成后，整理实施证据并交接P5-T3验证。,P5-T2,P5-T2,v0310_increment,reports/P5-T2基于V0.3.10主数据补拆验证实施计划.md;reports/P5-T2基于V0.3.10主数据补拆验证报告.md,内部试拆,1,candidate
EV0310-INC-P5T2-021,P5T1-N08,形成全网指标采集包并连接后续任务,P5T2-N01,明确性能提升任务、输入数据和提升目标,supports,前置支撑,全网性能指标采集包进入性能提升任务，作为提升目标和输入数据依据。,P5-T1,P5-T2,v0310_increment,reports/P5-T2基于V0.3.10主数据补拆验证实施计划.md;reports/P5-T2基于V0.3.10主数据补拆验证报告.md,待专业复核,2,candidate
EV0310-INC-P5T2-022,P5T1-N02,区分KPI/PI、指标口径与统计周期,P5T2-N02,使用8维5步法定位性能短板,supports,前置支撑,指标口径和统计周期支撑8维短板分析，避免错用指标。,P5-T1,P5-T2,v0310_increment,reports/P5-T2基于V0.3.10主数据补拆验证实施计划.md;reports/P5-T2基于V0.3.10主数据补拆验证报告.md,待专业复核,2,candidate
EV0310-INC-P5T2-023,P5T1-N03,采集接入类指标并核对关键计数器,P5T2-N03,制定接入类指标提升方案,supports,前置支撑,接入类采集结果支撑接入类指标提升方案制定。,P5-T1,P5-T2,v0310_increment,reports/P5-T2基于V0.3.10主数据补拆验证实施计划.md;reports/P5-T2基于V0.3.10主数据补拆验证报告.md,待专业复核,2,candidate
EV0310-INC-P5T2-024,P5T1-N04,采集保持性与移动性指标,P5T2-N04,制定保持类指标提升方案,supports,前置支撑,保持性指标采集结果支撑掉线和保持类提升方案制定。,P5-T1,P5-T2,v0310_increment,reports/P5-T2基于V0.3.10主数据补拆验证实施计划.md;reports/P5-T2基于V0.3.10主数据补拆验证报告.md,待专业复核,2,candidate
EV0310-INC-P5T2-025,P5T1-N04,采集保持性与移动性指标,P5T2-N05,制定移动性指标提升方案,supports,前置支撑,移动性指标采集结果支撑切换和邻区类提升方案制定。,P5-T1,P5-T2,v0310_increment,reports/P5-T2基于V0.3.10主数据补拆验证实施计划.md;reports/P5-T2基于V0.3.10主数据补拆验证报告.md,待专业复核,2,candidate
EV0310-INC-P5T2-026,P5T1-N05,采集资源类与可用类指标,P5T2-N06,制定资源类与可用类指标提升方案,supports,前置支撑,资源类与可用类采集结果支撑资源瓶颈、扩容分流和可用率提升方案制定。,P5-T1,P5-T2,v0310_increment,reports/P5-T2基于V0.3.10主数据补拆验证实施计划.md;reports/P5-T2基于V0.3.10主数据补拆验证报告.md,待专业复核,2,candidate
EV0310-INC-P5T2-027,P5T1-N06,采集覆盖、互操作与干扰类指标,P5T2-N02,使用8维5步法定位性能短板,supports,前置支撑,覆盖、互操作和干扰类指标支撑8维短板分析中的覆盖与干扰判断。,P5-T1,P5-T2,v0310_increment,reports/P5-T2基于V0.3.10主数据补拆验证实施计划.md;reports/P5-T2基于V0.3.10主数据补拆验证报告.md,待专业复核,2,candidate
EV0310-INC-P5T2-028,P5T1-N07,判断数据质量与采集证据可信度,P5T2-N07,形成实施方案、授权边界和回退要求,supports,前置支撑,数据质量和采集证据可信度约束实施方案是否可执行。,P5-T1,P5-T2,v0310_increment,reports/P5-T2基于V0.3.10主数据补拆验证实施计划.md;reports/P5-T2基于V0.3.10主数据补拆验证报告.md,待专业复核,2,candidate
EV0310-INC-P5T2-029,P5T2-N09,输出实施记录并交接P5-T3验证,P5T3-N01,确认性能提升方案与验证口径,supports,验证支撑,实施交接单进入性能提升验证任务和验证口径确认。,P5-T2,P5-T3,v0310_increment,reports/P5-T2基于V0.3.10主数据补拆验证实施计划.md;reports/P5-T2基于V0.3.10主数据补拆验证报告.md,待专业复核,2,candidate
EV0310-INC-P5T2-030,P5T2-N09,输出实施记录并交接P5-T3验证,P5T3-N02,选择验证数据源与复测路径,supports,验证支撑,实施交接单支撑验证数据源和复测路径选择。,P5-T2,P5-T3,v0310_increment,reports/P5-T2基于V0.3.10主数据补拆验证实施计划.md;reports/P5-T2基于V0.3.10主数据补拆验证报告.md,待专业复核,2,candidate
EV0310-INC-P5T2-031,P5T2-N09,输出实施记录并交接P5-T3验证,P5T3-N03,建立优化前后KPI对比基线,supports,验证支撑,实施前后动作和时间点支撑优化前后KPI对比基线。,P5-T2,P5-T3,v0310_increment,reports/P5-T2基于V0.3.10主数据补拆验证实施计划.md;reports/P5-T2基于V0.3.10主数据补拆验证报告.md,待专业复核,2,candidate
EV0310-INC-P5T2-032,P5T2-N09,输出实施记录并交接P5-T3验证,P5T3-N07,输出全网性能提升验证报告,supports,验证支撑,实施记录和未闭环风险进入全网性能提升验证报告。,P5-T2,P5-T3,v0310_increment,reports/P5-T2基于V0.3.10主数据补拆验证实施计划.md;reports/P5-T2基于V0.3.10主数据补拆验证报告.md,待专业复核,2,candidate
EV0310-INC-P5T2-033,P5T2-N07,形成实施方案、授权边界和回退要求,P5T3-N06,判断未闭环指标与二次分析入口,supports,验证支撑,实施方案中的未闭环风险和回退边界支撑二次分析入口判断。,P5-T2,P5-T3,v0310_increment,reports/P5-T2基于V0.3.10主数据补拆验证实施计划.md;reports/P5-T2基于V0.3.10主数据补拆验证报告.md,待专业复核,2,candidate
EV0310-INC-P5T2-034,P5T2-N03,制定接入类指标提升方案,P5T3-N04,验证接入与保持类提升效果,supports,验证支撑,接入类提升方案为接入与保持类效果验证提供措施依据。,P5-T2,P5-T3,v0310_increment,reports/P5-T2基于V0.3.10主数据补拆验证实施计划.md;reports/P5-T2基于V0.3.10主数据补拆验证报告.md,待专业复核,2,candidate
EV0310-INC-P5T2-035,P5T2-N04,制定保持类指标提升方案,P5T3-N04,验证接入与保持类提升效果,supports,验证支撑,保持类提升方案为接入与保持类效果验证提供措施依据。,P5-T2,P5-T3,v0310_increment,reports/P5-T2基于V0.3.10主数据补拆验证实施计划.md;reports/P5-T2基于V0.3.10主数据补拆验证报告.md,待专业复核,2,candidate
