asset_id,asset_name,asset_type,source_or_output,governance_role,graph_binding,review_status,current_use,next_action,path
A-V035-INC-P4T3-001,P4-T3基于V0.3.5主数据补拆验证报告,governance_report,output,说明P4-T3为什么拆、拆成哪些节点、如何接入V0.3.5和V0.4风险治理,P4-T3;P4T3-N01-P4T3-N06,internal_review,作为P4-T3补拆验证依据,完成结构校验和内部评审后再判断是否进入后续合并准备,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/reports/P4-T3基于V0.3.5主数据补拆验证报告.md
A-V035-INC-P4T3-002,P4-T3详细能力节点主数据增量样表V0.3.5,structured_data,output,P4-T3六个详细能力节点增量样表,P4T3-N01;P4T3-N02;P4T3-N03;P4T3-N04;P4T3-N05;P4T3-N06,internal_review,作为P4-T3节点增量表,通过结构校验后进入内部评审,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/reports/P4-T3详细能力节点主数据增量样表V0.3.5.csv
A-V035-INC-P4T3-003,P4-T3关系增量样表V0.3.5,structured_data,output,P4-T3任务拆分、内部递进、前置支撑、问题回流和能力挂接关系增量样表,P4-T3;P4T3-N01-P4T3-N06;P4T1-N05;P4T1-N06;P4T2-N02;P4T2-N06;P4T2-N07;P4T2-N08;P2T3-N08;AU-06;AU-07;AU-08,internal_review,作为P4-T3关系增量表,通过结构校验后进入内部评审,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/reports/P4-T3关系增量样表V0.3.5.csv
A-V035-INC-P4T3-004,P4-T3资源活动评价挂接增量样表V0.3.5,structured_data,output,P4-T3资源、活动、评价和媒体审查挂接增量样表,P4T3-N01-P4T3-N06;P4T3-IMG01,internal_review,作为P4-T3资源活动评价挂接增量表,通过结构校验后进入内部评审,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/reports/P4-T3资源活动评价挂接增量样表V0.3.5.csv
A-V035-INC-P4T3-005,P4-T3输入输出物治理增量记录V0.3.5,structured_data,output,P4-T3本轮输入输出物治理记录,P4-T3;P4T3-N01-P4T3-N06,internal_review,作为P4-T3过程资产追溯表,与其他增量文件一起纳入治理层,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/reports/P4-T3输入输出物治理增量记录V0.3.5.csv
A-V035-INC-P4T3-006,P4-T3风险治理扩展增量样表V0.4,structured_data,output,P4-T3节点和高风险挂接对象的V0.4风险治理记录,P4T3-N01-P4T3-N06;P4T3-IMG01;P4T3-W02;P4T3-W03;P4T3-W04;P4T3-W05;P4T3-W06,internal_review,作为P4-T3风险治理增量表,通过枚举校验后进入内部评审,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/reports/P4-T3风险治理扩展增量样表V0.4.csv
A-V035-INC-P4T3-007,P4-T3补拆验证实施计划,governance_plan,input,作为P4-T3补拆范围、边界和门禁依据,P4-T3,approved_for_execution,指导本轮补拆验证,后续如进入合并准备需回看本计划门禁,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/reports/P4-T3基于V0.3.5主数据补拆验证实施计划.md
A-V035-INC-P4T3-008,P4-T3原文抽取段,source_text,input,作为P4-T3补拆的原始教材来源,P4-T3,source_extracted,支撑节点、资源和风险判断,必要时继续回看原文第7053-7365行,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/extracted/textbook.md
A-V035-INC-P4T3-009,P4-T3任务清单记录,source_table,input,作为P4-T3篇幅、图片、表格和案例信号的任务级来源,P4-T3,source_extracted,辅助判断P4-T3是否适合第六类普通任务验证,必要时复核task_inventory对应记录,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/reports/task_inventory.csv
A-V035-INC-P4T3-010,P4-T3原教材测试截图image300,source_media,input,作为P4-T3越区覆盖案例测试截图待审来源,P4T3-N05;P4T3-IMG01,pending_media_review,仅作为媒体审查和重绘来源,正式学生端不得裸用原截图,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/assets/media/image300.png
A-V035-INC-P4T3-011,P4-T3原教材测试截图image301,source_media,input,作为P4-T3优化后效果截图待审来源,P4T3-N05;P4T3-IMG01,pending_media_review,仅作为媒体审查和重绘来源,正式学生端不得裸用原截图,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/assets/media/image301.png
A-V035-INC-P4T3-012,P4-T3增量结构校验记录V0.3.5,quality_record,output,记录P4-T3增量样表结构、ID、关系端点、挂接节点、路径和V0.4风险记录引用校验结果,P4-T3;P4T3-N01-P4T3-N06,internal_review,作为P4-T3内部评审前置门禁,若后续样表修订需重新执行结构校验,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/reports/P4-T3增量结构校验记录V0.3.5.md
A-V035-INC-P4T3-013,P4-T3增量补拆内部评审报告V0.3.5,review_report,output,评审P4-T3六节点补拆是否有条件通过以及是否暂不合并主数据,P4-T3;P4T3-N01-P4T3-N06,internal_review,作为P4-T3下一步是否修订或合并准备的依据,完成后同步治理层,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/reports/P4-T3增量补拆内部评审报告V0.3.5.md
