asset_id,asset_name,asset_type,source_or_output,governance_role,graph_binding,review_status,current_use,next_action,path
A-V0311-INC-P3T1-001,P3-T1基于V0.3.11主数据补拆验证实施计划,governance_plan,output,明确P3-T1补拆边界、候选节点、关系预案和门禁,P3-T1;P3T1-N01-P3T1-N07,internal_trial,作为P3-T1受控补拆过程资产,已接续生成补拆验证报告和增量样表,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/reports/P3-T1基于V0.3.11主数据补拆验证实施计划.md
A-V0311-INC-P3T1-002,P3-T1基于V0.3.11主数据补拆验证报告,governance_report,output,说明P3-T1为什么拆、拆成哪些节点、如何接入V0.3.11和V0.4风险治理,P3-T1;P3T1-N01-P3T1-N07,internal_trial,作为P3-T1受控补拆过程资产,待结构校验和内部评审,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/reports/P3-T1基于V0.3.11主数据补拆验证报告.md
A-V0311-INC-P3T1-003,P3-T1详细能力节点主数据增量样表V0.3.11,csv_output,output,记录P3-T1本轮7个详细能力节点候选,P3T1-N01-P3T1-N07,internal_trial,作为P3-T1受控补拆过程资产,待结构校验,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/reports/P3-T1详细能力节点主数据增量样表V0.3.11.csv
A-V0311-INC-P3T1-004,P3-T1关系增量样表V0.3.11,csv_output,output,记录P3-T1本轮关系增量,P3-T1;P3T1-N01-P3T1-N07;P3/P1/P2/P5/P6相关任务,internal_trial,作为P3-T1受控补拆过程资产,待结构校验,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/reports/P3-T1关系增量样表V0.3.11.csv
A-V0311-INC-P3T1-005,P3-T1资源活动评价挂接增量样表V0.3.11,csv_output,output,记录P3-T1资源、学习活动和评价产出挂接,P3T1-N01-P3T1-N07,internal_trial,作为P3-T1受控补拆过程资产,待结构校验,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/reports/P3-T1资源活动评价挂接增量样表V0.3.11.csv
A-V0311-INC-P3T1-006,P3-T1输入输出物治理增量记录V0.3.11,csv_output,output,记录P3-T1输入材料和输出资产治理状态,P3-T1,internal_trial,作为P3-T1受控补拆过程资产,待结构校验,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/reports/P3-T1输入输出物治理增量记录V0.3.11.csv
A-V0311-INC-P3T1-007,P3-T1风险治理扩展增量样表V0.4,csv_output,output,记录P3-T1节点和关键资源活动的V0.4风险治理,P3T1-N01-P3T1-N07;P3T1-R01-P3T1-R06;P3T1-W01-P3T1-W07,internal_trial,作为P3-T1受控补拆过程资产,待结构校验,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/reports/P3-T1风险治理扩展增量样表V0.4.csv
A-V0311-INC-P3T1-008,P3-T1增量结构校验记录V0.3.11,validation_record,output,记录P3-T1增量文件字段、ID、端点、挂接和风险结构校验,P3-T1,pending_review,作为P3-T1受控补拆过程资产,作为内部评审前置依据,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/reports/P3-T1增量结构校验记录V0.3.11.md
A-V0311-INC-P3T1-009,P3-T1增量补拆内部评审报告V0.3.11,internal_review,output,评价P3-T1补拆是否有条件通过结构评审,P3-T1,pending_review,作为P3-T1受控补拆过程资产,用于判断是否进入短内部复核或修订,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/reports/P3-T1增量补拆内部评审报告V0.3.11.md
A-V0311-INC-P3T1-010,extracted/textbook.md P3-T1原文,source_text,source,P3-T1原文输入，含任务导入、知识准备、任务实施、随堂测试和测评,P3-T1,pending_review,作为P3-T1受控补拆过程资产,作为输入依据，不直接作为学生端定稿,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/extracted/textbook.md lines 2399-2708
A-V0311-INC-P3T1-011,P3-T1原文媒体image95-image121,media_source,source,5G网管架构、部署、功能组件和仿真实训系统截图媒体池,P3T1-N02-P3T1-N05,pending_review,作为P3-T1受控补拆过程资产,进入媒体审查、教学化重绘或替换,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/assets/media/image95.png-assets/media/image121.png
