asset_id,asset_name,asset_type,source_or_output,governance_role,graph_binding,review_status,current_use,next_action,path
A-V038-INC-P6T1-001,P6-T1基于V0.3.8主数据补拆验证实施计划,governance_plan,output,明确P6-T1补拆边界、候选节点、关系预案和门禁,P6-T1;P6T1-N01-P6T1-N08,internal_plan,作为P6-T1受控补拆执行依据,生成补拆验证报告和增量样表,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/reports/P6-T1基于V0.3.8主数据补拆验证实施计划.md
A-V038-INC-P6T1-002,P6-T1基于V0.3.8主数据补拆验证报告,governance_report,output,说明P6-T1为什么拆、拆成哪些节点、如何接入V0.3.8,P6-T1;P6T1-N01-P6T1-N08,draft_created,作为P6-T1受控补拆验证依据,进入结构校验,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/reports/P6-T1基于V0.3.8主数据补拆验证报告.md
A-V038-INC-P6T1-003,P6-T1详细能力节点主数据增量样表V0.3.8,csv_node_increment,output,记录P6-T1八个详细能力节点,P6T1-N01-P6T1-N08,draft_created,候选节点增量，不直接合并,结构校验,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/reports/P6-T1详细能力节点主数据增量样表V0.3.8.csv
A-V038-INC-P6T1-004,P6-T1关系增量样表V0.3.8,csv_edge_increment,output,记录P6-T1任务拆分、内部递进、跨任务支撑和资源证据关系,P6-T1;P6T1-N01-P6T1-N08,draft_created,候选关系增量，不直接合并,结构校验,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/reports/P6-T1关系增量样表V0.3.8.csv
A-V038-INC-P6T1-005,P6-T1资源活动评价挂接增量样表V0.3.8,csv_binding_increment,output,记录P6-T1资源、活动和评价产出挂接,P6T1-N01-P6T1-N08,draft_created,候选挂接增量，不直接合并,结构校验,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/reports/P6-T1资源活动评价挂接增量样表V0.3.8.csv
A-V038-INC-P6T1-006,P6-T1输入输出物治理增量记录V0.3.8,csv_asset_increment,output,记录P6-T1本轮输入输出物和治理角色,P6-T1,draft_created,输入输出物治理依据,结构校验,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/reports/P6-T1输入输出物治理增量记录V0.3.8.csv
A-V038-INC-P6T1-007,P6-T1风险治理扩展增量样表V0.4,csv_risk_increment,output,记录P6-T1专业、媒体、案例、工具和平台边界风险,P6-T1;P6T1-N01-P6T1-N08,draft_created,V0.4旁挂风险治理候选,结构校验,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/reports/P6-T1风险治理扩展增量样表V0.4.csv
A-V038-INC-P6T1-008,P6-T1增量结构校验记录V0.3.8,validation_report,output,记录P6-T1增量结构校验结果,P6-T1,structure_validated,结构校验已通过，无阻断结构错误,进入内部评审追溯,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/reports/P6-T1增量结构校验记录V0.3.8.md
A-V038-INC-P6T1-009,P6-T1增量补拆内部评审报告V0.3.8,review_report,output,记录P6-T1内部评审意见,P6-T1,internal_review,内部评审84/100，有条件通过，暂不启动V0.3.8A修订,形成短内部复核记录,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/reports/P6-T1增量补拆内部评审报告V0.3.8.md
A-V038-INC-P6T1-010,P6-T1原教材正文,source_text,input,P6-T1原文428行，含25张图片、3个随堂测试和1个经典案例,P6-T1,source_reference,作为补拆输入母本,按第9638-10065行进行P6-T1原文追溯,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/extracted/textbook.md
A-V038-INC-P6T1-011,P6-T1媒体资源组,media_source,input,image345-image369，包含流程图、字段截图、仿真界面和案例图,P6-T1,pending_media_review,作为媒体审查对象,逐图判断image345-image369的重绘、标注、替换或禁用,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/assets/media
A-V038-INC-P6T1-012,P6-T1_V0.3.8短内部复核记录,short_review_report,output,记录P6-T1短内部复核结论，判断是否进入V0.3.9合并准备,P6-T1;P6T1-N01-P6T1-N08,short_review_passed,短复核85/100，通过；建议进入V0.3.9合并准备方案,形成P6-T1_V0.3.9合并准备方案,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/reports/P6-T1_V0.3.8短内部复核记录.md
