backfill_record_id,source_table,source_record_id,task_id,object_level,object_title,source_risk_summary,field_schema_version,review_required_type,professional_risk_type,review_owner_role,contains_personal_info,personal_info_type,anonymization_required,anonymization_status,authorization_required,authorization_status,recording_involved,data_security_review_scope,data_security_gate_status,service_commitment_risk_type,customer_communication_review_type,communication_expression_status,external_statement_allowed,service_wording_review_note,case_authenticity_type,case_applicability_boundary,source_sensitivity_level,source_transformation_type,publishability_status,resource_review_object_type,resource_provenance_type,assessment_sensitivity_type,assessment_release_allowed,professional_gate_status,editorial_gate_status,media_gate_status,student_text_gate_status,platform_gate_status,teaching_validation_gate_status,overall_publish_gate_status,gate_blocking_reason,gate_next_action,field_backfill_status,migration_batch_id,schema_change_reason
BF-V04-P4T2-001,node_master,P4T2-N01,P4-T2,detail_capability,识别验证场景,medium风险；审核状态=pending_professional_review；审核类型=professional;editorial；case_logic;data_source,V0.4,professional;editorial;student_text;teaching_validation;platform;publication,case_logic;data_source,professional_expert;editor;publisher_platform;legal_compliance;teaching_reviewer,no,not_applicable,no,not_needed,no,not_applicable,no,none,not_required,none,none,not_applicable,no,not_applicable,teaching_simulation,仅用于项目四任务2教学模拟和深样章验证；阈值、结论和媒体资源需专业复核、媒体审查和教学验证。,medium,teaching_simulation;ai_created,not_ready,none,ai_rewritten;teaching_simulation,professional_conclusion,after_review,pending,pending,not_required,review_pending,not_started,internal_review,not_ready,仍需完成专业/编辑/数据安全/媒体/学生正文/平台/教学验证等对应门禁。,按任务风险提交对应复核，并在回填样表通过后再判断是否进入合并建议。,completed,V04-BATCH-P4T2-001,P4-T2深样章涉及学生正文、教师材料、评价量规、页面呈现和平台发布门禁，需要结构化回填。
BF-V04-P4T2-002,node_master,P4T2-N02,P4-T2,detail_capability,区分改善与达标,medium风险；审核状态=pending_professional_review；审核类型=professional;editorial；conclusion;terminology,V0.4,professional;editorial;student_text;teaching_validation;platform;publication,conclusion;terminology,professional_expert;editor;publisher_platform;legal_compliance;teaching_reviewer,no,not_applicable,no,not_needed,no,not_applicable,no,none,not_required,none,none,not_applicable,no,not_applicable,teaching_simulation,仅用于项目四任务2教学模拟和深样章验证；阈值、结论和媒体资源需专业复核、媒体审查和教学验证。,medium,teaching_simulation;ai_created,not_ready,none,ai_rewritten;teaching_simulation,professional_conclusion,after_review,pending,pending,not_required,review_pending,not_started,internal_review,not_ready,仍需完成专业/编辑/数据安全/媒体/学生正文/平台/教学验证等对应门禁。,按任务风险提交对应复核，并在回填样表通过后再判断是否进入合并建议。,completed,V04-BATCH-P4T2-001,P4-T2深样章涉及学生正文、教师材料、评价量规、页面呈现和平台发布门禁，需要结构化回填。
BF-V04-P4T2-003,node_master,P4T2-N03,P4-T2,detail_capability,读覆盖指标,high风险；审核状态=pending_media_review；审核类型=professional;media;editorial;copyright；threshold;terminology;tool_screenshot,V0.4,professional;media;editorial;copyright;student_text;teaching_validation;platform;publication,threshold;terminology;tool_screenshot,professional_expert;editor;media_designer;publisher_platform;legal_compliance;teaching_reviewer,no,not_applicable,no,not_needed,no,not_applicable,no,none,not_required,none,none,not_applicable,no,not_applicable,teaching_simulation,仅用于项目四任务2教学模拟和深样章验证；阈值、结论和媒体资源需专业复核、媒体审查和教学验证。,high,teaching_simulation;ai_created;redrawn,not_ready,none,ai_rewritten;teaching_simulation;original_textbook,professional_conclusion,after_review,pending,pending,revision_required,review_pending,not_started,internal_review,not_ready,仍需完成专业/编辑/数据安全/媒体/学生正文/平台/教学验证等对应门禁。,按任务风险提交对应复核，并在回填样表通过后再判断是否进入合并建议。,completed,V04-BATCH-P4T2-001,P4-T2深样章涉及学生正文、教师材料、评价量规、页面呈现和平台发布门禁，需要结构化回填。
BF-V04-P4T2-004,node_master,P4T2-N04,P4-T2,detail_capability,读移动性指标,high风险；审核状态=pending_media_review；审核类型=professional;media;editorial;copyright；procedure;tool_screenshot;signal_analysis,V0.4,professional;media;editorial;copyright;student_text;teaching_validation;platform;publication,procedure;tool_screenshot;signal_analysis,professional_expert;editor;media_designer;publisher_platform;legal_compliance;teaching_reviewer,no,not_applicable,no,not_needed,no,not_applicable,no,none,not_required,none,none,not_applicable,no,not_applicable,teaching_simulation,仅用于项目四任务2教学模拟和深样章验证；阈值、结论和媒体资源需专业复核、媒体审查和教学验证。,high,teaching_simulation;ai_created;redrawn,not_ready,none,ai_rewritten;teaching_simulation;original_textbook,professional_conclusion,after_review,pending,pending,revision_required,review_pending,not_started,internal_review,not_ready,仍需完成专业/编辑/数据安全/媒体/学生正文/平台/教学验证等对应门禁。,按任务风险提交对应复核，并在回填样表通过后再判断是否进入合并建议。,completed,V04-BATCH-P4T2-001,P4-T2深样章涉及学生正文、教师材料、评价量规、页面呈现和平台发布门禁，需要结构化回填。
BF-V04-P4T2-005,node_master,P4T2-N05,P4-T2,detail_capability,读体验与容量指标,high风险；审核状态=pending_media_review；审核类型=professional;media;editorial;copyright；threshold;case_logic;conclusion;tool_screenshot,V0.4,professional;media;editorial;copyright;student_text;teaching_validation;platform;publication,threshold;case_logic;conclusion;tool_screenshot,professional_expert;editor;media_designer;publisher_platform;legal_compliance;teaching_reviewer,no,not_applicable,no,not_needed,no,not_applicable,no,none,not_required,none,none,not_applicable,no,not_applicable,teaching_simulation,仅用于项目四任务2教学模拟和深样章验证；阈值、结论和媒体资源需专业复核、媒体审查和教学验证。,high,teaching_simulation;ai_created;redrawn,not_ready,none,ai_rewritten;teaching_simulation;original_textbook,professional_conclusion,after_review,pending,pending,revision_required,review_pending,not_started,internal_review,not_ready,仍需完成专业/编辑/数据安全/媒体/学生正文/平台/教学验证等对应门禁。,按任务风险提交对应复核，并在回填样表通过后再判断是否进入合并建议。,completed,V04-BATCH-P4T2-001,P4-T2深样章涉及学生正文、教师材料、评价量规、页面呈现和平台发布门禁，需要结构化回填。
BF-V04-P4T2-006,node_master,P4T2-N06,P4-T2,detail_capability,选择判断依据,medium风险；审核状态=pending_professional_review；审核类型=professional;editorial；case_logic;conclusion,V0.4,professional;editorial;student_text;teaching_validation;platform;publication,case_logic;conclusion,professional_expert;editor;publisher_platform;legal_compliance;teaching_reviewer,no,not_applicable,no,not_needed,no,not_applicable,no,none,not_required,none,none,not_applicable,no,not_applicable,teaching_simulation,仅用于项目四任务2教学模拟和深样章验证；阈值、结论和媒体资源需专业复核、媒体审查和教学验证。,medium,teaching_simulation;ai_created,not_ready,none,ai_rewritten;teaching_simulation,professional_conclusion,after_review,pending,pending,not_required,review_pending,not_started,internal_review,not_ready,仍需完成专业/编辑/数据安全/媒体/学生正文/平台/教学验证等对应门禁。,按任务风险提交对应复核，并在回填样表通过后再判断是否进入合并建议。,completed,V04-BATCH-P4T2-001,P4-T2深样章涉及学生正文、教师材料、评价量规、页面呈现和平台发布门禁，需要结构化回填。
BF-V04-P4T2-007,node_master,P4T2-N07,P4-T2,detail_capability,形成验收结论,medium风险；审核状态=pending_professional_review；审核类型=professional;editorial；conclusion;terminology,V0.4,professional;editorial;student_text;teaching_validation;platform;publication,conclusion;terminology,professional_expert;editor;publisher_platform;legal_compliance;teaching_reviewer,no,not_applicable,no,not_needed,no,not_applicable,no,none,not_required,none,none,not_applicable,no,not_applicable,teaching_simulation,仅用于项目四任务2教学模拟和深样章验证；阈值、结论和媒体资源需专业复核、媒体审查和教学验证。,medium,teaching_simulation;ai_created,not_ready,none,ai_rewritten;teaching_simulation,professional_conclusion,after_review,pending,pending,not_required,review_pending,not_started,internal_review,not_ready,仍需完成专业/编辑/数据安全/媒体/学生正文/平台/教学验证等对应门禁。,按任务风险提交对应复核，并在回填样表通过后再判断是否进入合并建议。,completed,V04-BATCH-P4T2-001,P4-T2深样章涉及学生正文、教师材料、评价量规、页面呈现和平台发布门禁，需要结构化回填。
BF-V04-P4T2-008,node_master,P4T2-N08,P4-T2,detail_capability,修正职业表达,medium风险；审核状态=pending_professional_review；审核类型=professional;editorial；conclusion;terminology,V0.4,professional;editorial;student_text;teaching_validation;platform;publication,conclusion;terminology,professional_expert;editor;publisher_platform;legal_compliance;teaching_reviewer,no,not_applicable,no,not_needed,no,not_applicable,no,none,not_required,none,none,not_applicable,no,not_applicable,teaching_simulation,仅用于项目四任务2教学模拟和深样章验证；阈值、结论和媒体资源需专业复核、媒体审查和教学验证。,medium,teaching_simulation;ai_created,not_ready,none,ai_rewritten;teaching_simulation,professional_conclusion,after_review,pending,pending,not_required,review_pending,not_started,internal_review,not_ready,仍需完成专业/编辑/数据安全/媒体/学生正文/平台/教学验证等对应门禁。,按任务风险提交对应复核，并在回填样表通过后再判断是否进入合并建议。,completed,V04-BATCH-P4T2-001,P4-T2深样章涉及学生正文、教师材料、评价量规、页面呈现和平台发布门禁，需要结构化回填。
BF-V04-P4T2-009,binding_master,BV03-0030,P4-T2,resource_card,P4T2-C01,medium风险；审核状态=pending_professional_review；对象=P4T2-C01；需专业教师确认投诉线索和验证对象的对应关系是否符合网优验收教学逻辑。,V0.4,professional;editorial;student_text;teaching_validation;platform;publication,threshold;case_logic;conclusion,professional_expert;editor;publisher_platform;legal_compliance;teaching_reviewer,no,not_applicable,no,not_needed,no,not_applicable,no,none,not_required,none,none,not_applicable,no,not_applicable,teaching_simulation,仅用于项目四任务2教学模拟和深样章验证；阈值、结论和媒体资源需专业复核、媒体审查和教学验证。,medium,teaching_simulation;ai_created,not_ready,case;worksheet;text,ai_rewritten;teaching_simulation,none,not_applicable,pending,pending,not_required,review_pending,not_started,internal_review,not_ready,仍需完成专业/编辑/数据安全/媒体/学生正文/平台/教学验证等对应门禁。,按任务风险提交对应复核，并在回填样表通过后再判断是否进入合并建议。,completed,V04-BATCH-P4T2-001,P4-T2深样章涉及学生正文、教师材料、评价量规、页面呈现和平台发布门禁，需要结构化回填。
BF-V04-P4T2-010,binding_master,BV03-0031,P4-T2,resource_card,P4T2-C02,medium风险；审核状态=pending_professional_review；对象=P4T2-C02；需专业教师确认投诉线索和验证对象的对应关系是否符合网优验收教学逻辑。,V0.4,professional;editorial;student_text;teaching_validation;platform;publication,threshold;case_logic;conclusion,professional_expert;editor;publisher_platform;legal_compliance;teaching_reviewer,no,not_applicable,no,not_needed,no,not_applicable,no,none,not_required,none,none,not_applicable,no,not_applicable,teaching_simulation,仅用于项目四任务2教学模拟和深样章验证；阈值、结论和媒体资源需专业复核、媒体审查和教学验证。,medium,teaching_simulation;ai_created,not_ready,case;worksheet;text,ai_rewritten;teaching_simulation,none,not_applicable,pending,pending,not_required,review_pending,not_started,internal_review,not_ready,仍需完成专业/编辑/数据安全/媒体/学生正文/平台/教学验证等对应门禁。,按任务风险提交对应复核，并在回填样表通过后再判断是否进入合并建议。,completed,V04-BATCH-P4T2-001,P4-T2深样章涉及学生正文、教师材料、评价量规、页面呈现和平台发布门禁，需要结构化回填。
