asset_id,asset_name,asset_type,source_or_output,governance_role,graph_binding,review_status,current_use,next_action,path
A-V034-INC-P4T1-001,P4-T1基于V0.3.4主数据补拆验证报告,governance_report,output,说明P4-T1为什么拆、拆成哪些节点、如何接入V0.3.4和V0.4风险治理,P4-T1;P4T1-N01-P4T1-N06,internal_review,作为P4-T1补拆验证依据,完成结构校验和内部评审后再判断是否进入后续合并准备,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/reports/P4-T1基于V0.3.4主数据补拆验证报告.md
A-V034-INC-P4T1-002,P4-T1详细能力节点主数据增量样表V0.3.4,structured_data,output,P4-T1六个详细能力节点增量样表,P4T1-N01;P4T1-N02;P4T1-N03;P4T1-N04;P4T1-N05;P4T1-N06,internal_review,作为P4-T1节点增量表,通过结构校验后进入内部评审,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/reports/P4-T1详细能力节点主数据增量样表V0.3.4.csv
A-V034-INC-P4T1-003,P4-T1关系增量样表V0.3.4,structured_data,output,P4-T1任务拆分、内部递进、前置支撑、验证交接和能力挂接关系增量样表,P4-T1;P4T1-N01-P4T1-N06;P2T3-N07;P3T3-N06;P4T2-N01;AU-05;AU-06;AU-07,internal_review,作为P4-T1关系增量表,通过结构校验后进入内部评审,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/reports/P4-T1关系增量样表V0.3.4.csv
A-V034-INC-P4T1-004,P4-T1资源活动评价挂接增量样表V0.3.4,structured_data,output,P4-T1资源、活动、评价和媒体审查挂接增量样表,P4T1-N01-P4T1-N06;P4T1-IMG01;P4T1-CASE01,internal_review,作为P4-T1资源活动评价挂接增量表,通过结构校验后进入内部评审,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/reports/P4-T1资源活动评价挂接增量样表V0.3.4.csv
A-V034-INC-P4T1-005,P4-T1输入输出物治理增量记录V0.3.4,structured_data,output,P4-T1本轮输入输出物治理记录,P4-T1;P4T1-N01-P4T1-N06,internal_review,作为P4-T1过程资产追溯表,与其他增量文件一起纳入治理层,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/reports/P4-T1输入输出物治理增量记录V0.3.4.csv
A-V034-INC-P4T1-006,P4-T1风险治理扩展增量样表V0.4,structured_data,output,P4-T1节点和高风险挂接对象的V0.4风险治理记录,P4T1-N01-P4T1-N06;P4T1-IMG01;P4T1-CASE01;P4T1-W02;P4T1-W05;P4T1-W06,internal_review,作为P4-T1风险治理增量表,通过枚举校验后进入内部评审,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/reports/P4-T1风险治理扩展增量样表V0.4.csv
A-V034-INC-P4T1-007,P4-T1增量结构校验记录V0.3.4,quality_record,output,记录P4-T1增量样表结构、ID、关系端点、挂接节点、路径和V0.4枚举校验结果,P4-T1;P4T1-N01-P4T1-N06,internal_review,作为P4-T1内部评审前置门禁,若发现阻断错误先修正样表,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/reports/P4-T1增量结构校验记录V0.3.4.md
A-V034-INC-P4T1-008,P4-T1增量补拆内部评审报告V0.3.4,review_report,output,评审P4-T1六节点补拆是否有条件通过以及是否暂不合并主数据,P4-T1;P4T1-N01-P4T1-N06,internal_review,作为P4-T1下一步是否修订或合并准备的依据,完成后同步治理层,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/reports/P4-T1增量补拆内部评审报告V0.3.4.md
A-V034-INC-P4T1-009,P4-T1原文抽取段,source_text,input,作为P4-T1补拆的原始教材来源,P4-T1,source_extracted,支撑节点、资源和风险判断,必要时继续回看原文第5188-5800行,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/extracted/textbook.md
A-V034-INC-P4T1-010,P4-T1媒体来源组,source_media,input,作为P4-T1截图、图表和案例图片的待审媒体来源,P4-T1;P4T1-N03;P4T1-IMG01,pending_media_review,仅作为媒体审查和重绘来源,正式学生端不得裸用原截图,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/assets/media/
