binding_id,node_id,node_name,binding_target_id,binding_target_title,binding_type,project_id,task_id,resource_type,learning_activity_type,student_action,student_output,assessment_output,binding_status,audit_status,risk_level,source_file,notes
BV034-INC-P4T1-001,P4T1-N01,明确优化对象与实施边界,P4T1-C01,优化实施情境卡,resource_card,P4,P4-T1,case_card;text_card,case_intro;task_analysis,阅读日常通信问题和前序建议，判断本次是否进入优化实施。,优化实施任务单,优化实施任务单,planned,pending_professional_review,medium,reports/P4-T1详细能力节点主数据增量样表V0.3.4.csv,情境卡用于启动任务，不直接给出优化处方。
BV034-INC-P4T1-002,P4T1-N01,明确优化对象与实施边界,P4T1-W01,优化实施任务单,assessment_output,P4,P4-T1,worksheet;rubric,task_analysis;boundary_checking,填写问题现象、前序依据、可实施对象和暂不能操作的边界。,优化实施任务单,优化实施任务单,planned,pending_editorial_review,medium,reports/P4-T1详细能力节点主数据增量样表V0.3.4.csv,评价学生是否先明确实施对象和边界。
BV034-INC-P4T1-003,P4T1-N02,区分优化动作类型与责任边界,P4T1-C02,优化动作类型分类卡,resource_card,P4,P4-T1,classification_table;scenario_card,problem_classification,根据现象和建议把优化动作归入天线、无线、承载或核心网方向。,优化动作分类与责任边界表,优化动作分类与责任边界表,planned,pending_professional_review,high,reports/P4-T1详细能力节点主数据增量样表V0.3.4.csv,四类对象作为分类资源，不升格为四个能力节点。
BV034-INC-P4T1-004,P4T1-N02,区分优化动作类型与责任边界,P4T1-W02,责任边界表,assessment_output,P4,P4-T1,worksheet;boundary_table,risk_checking;boundary_checking,填写实施动作、责任岗位、授权要求和学生可训练动作。,优化动作分类与责任边界表,优化动作分类与责任边界表,planned,pending_professional_review,high,reports/P4-T1详细能力节点主数据增量样表V0.3.4.csv,用于防止把真实工程操作写成学生可自行完成任务。
BV034-INC-P4T1-005,P4T1-N02,区分优化动作类型与责任边界,P4T1-ACT02,优化方向分支判断活动,learning_activity,P4,P4-T1,interactive_activity;classification_table,problem_classification,把不同问题现象拖入对应优化方向，并标注是否需要专业人员复核。,优化动作分类与责任边界表,优化动作分类与责任边界表,planned,pending_teaching_validation,medium,reports/P4-T1详细能力节点主数据增量样表V0.3.4.csv,后续可转为互动分类活动。
BV034-INC-P4T1-006,P4T1-N03,读取关键参数与变更依据,P4T1-C03,参数依据解释卡,resource_card,P4,P4-T1,parameter_table;text_card,parameter_annotation;data_reading,阅读关键参数说明，标出参数能支持的判断和不能直接说明的结论。,参数依据记录表,参数依据记录表,planned,pending_professional_review,high,reports/P4-T1详细能力节点主数据增量样表V0.3.4.csv,参数解释必须由通信专业教师复核。
BV034-INC-P4T1-007,P4T1-N03,读取关键参数与变更依据,P4T1-IMG01,原教材仿真软件截图组,media_asset_review,P4,P4-T1,screenshot;redrawn_image,media_review;data_reading,对照重绘前后的界面示意，识别参数所在位置和字段含义。,参数依据记录表,参数依据记录表,planned,pending_media_review,high,reports/P4-T1详细能力节点主数据增量样表V0.3.4.csv,覆盖image228至image232和相关参数截图，正式学生端必须重绘或替换。
BV034-INC-P4T1-008,P4T1-N03,读取关键参数与变更依据,P4T1-W03,参数依据记录表,assessment_output,P4,P4-T1,worksheet;rubric,parameter_annotation;evidence_checking,记录参数名称、当前值、建议动作、依据来源和待复核点。,参数依据记录表,参数依据记录表,planned,pending_professional_review,high,reports/P4-T1详细能力节点主数据增量样表V0.3.4.csv,评价学生能否说明为什么需要调整，而不是只点软件界面。
BV034-INC-P4T1-009,P4T1-N03,读取关键参数与变更依据,P4T1-CASE01,CSI-RS配置问题案例材料,resource_card,P4,P4-T1,case_card;data_table,case_analysis;boundary_checking,阅读CSI-RS案例，找出参数配置不一致、指标变化和复测结果之间的关系。,参数依据记录表,参数依据记录表,planned,pending_professional_review,high,reports/P4-T1详细能力节点主数据增量样表V0.3.4.csv,案例可用于教学分析，但不能写成通用优化处方。
BV034-INC-P4T1-010,P4T1-N04,制定实施步骤与风险回退检查,P4T1-C05,实施步骤排序卡,resource_card,P4,P4-T1,process_table;checklist,process_ordering,将实施前检查、授权确认、参数核对、执行记录和回退检查排序。,实施步骤与回退检查单,实施步骤与回退检查单,planned,pending_professional_review,high,reports/P4-T1详细能力节点主数据增量样表V0.3.4.csv,训练受控实施流程，不训练真实网管操作。
