v03_edge_id,source_node_id,source_node_name,target_node_id,target_node_name,relation_raw_type,relation_type,relation_summary,source_task_id,target_task_id,edge_scope,source_file,review_status,display_priority,version_status
EV032-INC-P1T3-001,P1-T3,任务3：投诉信息采集,P1T3-N01,完成投诉应答、分类与升级判断,decomposes,任务拆分详细节点,P1-T3补拆进入投诉应答、分类与升级判断节点。,P1-T3,P1-T3,v032_increment,reports/P1-T3基于V0.3.2主数据补拆验证报告.md,内部试拆,1,current
EV032-INC-P1T3-002,P1-T3,任务3：投诉信息采集,P1T3-N02,核实投诉关键信息并填写信息单,decomposes,任务拆分详细节点,P1-T3补拆进入投诉关键信息核实和信息单填写节点。,P1-T3,P1-T3,v032_increment,reports/P1-T3基于V0.3.2主数据补拆验证报告.md,内部试拆,1,current
EV032-INC-P1T3-003,P1-T3,任务3：投诉信息采集,P1T3-N03,现场核实投诉场景与业务现象,decomposes,任务拆分详细节点,P1-T3补拆进入现场核实投诉场景与业务现象节点。,P1-T3,P1-T3,v032_increment,reports/P1-T3基于V0.3.2主数据补拆验证报告.md,内部试拆,1,current
EV032-INC-P1T3-004,P1-T3,任务3：投诉信息采集,P1T3-N04,初步定位问题并沟通处理结果,decomposes,任务拆分详细节点,P1-T3补拆进入初步定位问题并沟通处理结果节点。,P1-T3,P1-T3,v032_increment,reports/P1-T3基于V0.3.2主数据补拆验证报告.md,内部试拆,1,current
EV032-INC-P1T3-005,P1T3-N01,完成投诉应答、分类与升级判断,P1T3-N02,核实投诉关键信息并填写信息单,precedes,直接递进,先判断投诉类型和处理边界，再核实并记录具体投诉信息。,P1-T3,P1-T3,v032_increment,reports/P1-T3基于V0.3.2主数据补拆验证报告.md,内部试拆,1,current
EV032-INC-P1T3-006,P1T3-N02,核实投诉关键信息并填写信息单,P1T3-N03,现场核实投诉场景与业务现象,precedes,直接递进,信息单确认后进入现场核实，避免无目标上门和无效测试。,P1-T3,P1-T3,v032_increment,reports/P1-T3基于V0.3.2主数据补拆验证报告.md,内部试拆,1,current
EV032-INC-P1T3-007,P1T3-N03,现场核实投诉场景与业务现象,P1T3-N04,初步定位问题并沟通处理结果,precedes,直接递进,现场核实结果进入初步定位、处理状态判断和客户反馈口径。,P1-T3,P1-T3,v032_increment,reports/P1-T3基于V0.3.2主数据补拆验证报告.md,内部试拆,1,current
EV032-INC-P1T3-008,P1-T1,任务1：室内环境信息采集,P1T3-N03,现场核实投诉场景与业务现象,supports,支撑判断,室内环境信息可支撑室内投诉现场核实和弱覆盖判断。,P1-T1,P1-T3,v032_increment,reports/P1-T3基于V0.3.2主数据补拆验证报告.md,待专业复核,2,current
EV032-INC-P1T3-009,P1-T2,任务2：室外环境信息采集,P1T3-N03,现场核实投诉场景与业务现象,supports,支撑判断,室外环境信息可支撑投诉点周边基站、阻挡和覆盖场景判断。,P1-T2,P1-T3,v032_increment,reports/P1-T3基于V0.3.2主数据补拆验证报告.md,待专业复核,2,current
EV032-INC-P1T3-010,P1T3-N02,核实投诉关键信息并填写信息单,P2-T1,任务1：DT/CQT测试准备和执行,supports,支撑判断,投诉时间、地点、业务类型、终端和影响范围可作为测试准备和路线设计输入。,P1-T3,P2-T1,v032_increment,reports/P1-T3基于V0.3.2主数据补拆验证报告.md,待专业复核,2,current
EV032-INC-P1T3-011,P1T3-N03,现场核实投诉场景与业务现象,P2-T1,任务1：DT/CQT测试准备和执行,precedes,直接递进,现场核实确认需要专项测试时进入DT/CQT测试准备和执行。,P1-T3,P2-T1,v032_increment,reports/P1-T3基于V0.3.2主数据补拆验证报告.md,待专业复核,2,current
EV032-INC-P1T3-012,P1T3-N02,核实投诉关键信息并填写信息单,P2T3-N01,明确分析任务与数据来源,supports,支撑判断,投诉信息单可作为后续测试数据分析的任务来源和问题背景。,P1-T3,P2-T3,v032_increment,reports/P1-T3基于V0.3.2主数据补拆验证报告.md,待专业复核,2,current
EV032-INC-P1T3-013,P1T3-N04,初步定位问题并沟通处理结果,P4T2-N01,识别验证场景,supports,支撑判断,投诉初步定位和反馈口径可支撑结果验证阶段识别覆盖、体验、移动性或容量验证对象。,P1-T3,P4-T2,v032_increment,reports/P1-T3基于V0.3.2主数据补拆验证报告.md,待专业复核,2,current
EV032-INC-P1T3-014,P1T3-N01,完成投诉应答、分类与升级判断,AU-01,场景、站点与投诉信息采集,maps_to_ability,能力挂接,投诉应答、分类和升级判断主挂AU-01，用于能力单元统计和资源组织。,P1-T3,not_applicable,v032_increment,reports/P1-T3基于V0.3.2主数据补拆验证报告.md,内部试拆,5,current
EV032-INC-P1T3-015,P1T3-N02,核实投诉关键信息并填写信息单,AU-01,场景、站点与投诉信息采集,maps_to_ability,能力挂接,投诉关键信息核实和信息单填写主挂AU-01，并连接测试准备和数据分析。,P1-T3,not_applicable,v032_increment,reports/P1-T3基于V0.3.2主数据补拆验证报告.md,内部试拆,5,current
EV032-INC-P1T3-016,P1T3-N03,现场核实投诉场景与业务现象,AU-01,场景、站点与投诉信息采集,maps_to_ability,能力挂接,现场核实投诉场景与业务现象主挂AU-01，同时支撑AU-02和AU-03。,P1-T3,not_applicable,v032_increment,reports/P1-T3基于V0.3.2主数据补拆验证报告.md,待专业复核,5,current
EV032-INC-P1T3-017,P1T3-N04,初步定位问题并沟通处理结果,AU-01,场景、站点与投诉信息采集,maps_to_ability,能力挂接,初步定位和结果沟通主挂AU-01，同时连接AU-05问题定位和AU-08职业表达。,P1-T3,not_applicable,v032_increment,reports/P1-T3基于V0.3.2主数据补拆验证报告.md,待专业复核,5,current
