backfill_record_id,source_table,source_record_id,task_id,object_level,object_title,source_risk_summary,field_schema_version,review_required_type,professional_risk_type,review_owner_role,contains_personal_info,personal_info_type,anonymization_required,anonymization_status,authorization_required,authorization_status,recording_involved,data_security_review_scope,data_security_gate_status,service_commitment_risk_type,customer_communication_review_type,communication_expression_status,external_statement_allowed,service_wording_review_note,case_authenticity_type,case_applicability_boundary,source_sensitivity_level,source_transformation_type,publishability_status,resource_review_object_type,resource_provenance_type,assessment_sensitivity_type,assessment_release_allowed,professional_gate_status,editorial_gate_status,media_gate_status,student_text_gate_status,platform_gate_status,teaching_validation_gate_status,overall_publish_gate_status,gate_blocking_reason,gate_next_action,field_backfill_status,migration_batch_id,schema_change_reason
BF-V04-P4T3-001,node_master,P4T3-N01,P4-T3,detail_capability,明确报告对象与交付口径,medium风险；报告对象和交付口径若不清会导致学生套模板或越权承诺,V0.4,professional;editorial;student_text,customer_communication;publication_boundary;conclusion,professional_expert;editor;course_teacher,no,not_applicable,no,not_needed,yes,pending,no,none,not_required,external_commitment,customer_statement_boundary,pending,teaching_only,报告交付口径确认单必须说明哪些内容不能直接对外承诺。,source_adapted,仅用于教学情境下确认报告对象和交付边界；不得作为真实客户报告授权依据。,medium,adapted,not_ready,text,original_textbook;ai_rewritten,professional_conclusion,after_review,pending,pending,not_required,review_pending,not_applicable,not_started,not_ready,仍需完成专业复核、编辑复核、学生正文和教学验证门禁。,补充教学化情境和报告交付口径示例后再判断是否进入主数据合并建议。,completed,V04-BATCH-P4T3-001,P4-T3新增报告输出、客户沟通、截图媒体和指标结论边界风险，需要V0.4结构化治理。
BF-V04-P4T3-002,node_master,P4T3-N02,P4-T3,detail_capability,归集实施与验证证据,high风险；实施记录、验证结论和测试分析报告来源混用会导致报告依据不可靠,V0.4,professional;editorial;data_security;student_text,data_source;conclusion;authorization,professional_expert;editor;data_security_officer;course_teacher,no,not_applicable,pending,pending,yes,pending,no,location;work_order;network_parameter,pending,uncertain_conclusion,none,not_applicable,teaching_only,报告证据链清单必须区分依据、背景、边界和待补充证据。,source_adapted,仅训练证据归集和报告依据组织；不得暴露真实工程记录或网络参数。,high,adapted;teaching_simulation;anonymized,not_ready,worksheet,original_textbook;ai_rewritten;teaching_simulation,professional_conclusion;work_order,after_redaction,pending,pending,not_required,review_pending,not_applicable,not_started,not_ready,仍需完成数据安全、专业和教学验证门禁。,制作脱敏证据链样表并由专业教师确认材料来源和可用边界。,completed,V04-BATCH-P4T3-001,P4-T3新增报告输出、客户沟通、截图媒体和指标结论边界风险，需要V0.4结构化治理。
BF-V04-P4T3-003,node_master,P4T3-N03,P4-T3,detail_capability,选择报告结构并组织材料,medium风险；报告模板来源和适用边界不清会把模板学习误写成能力学习,V0.4,professional;editorial;student_text,template;publication_boundary;conclusion,professional_expert;editor;course_teacher,no,not_applicable,no,not_needed,yes,pending,no,none,not_required,none,none,not_applicable,teaching_only,报告结构只能作为材料组织工具，不能替代能力节点。,source_adapted,仅用于教学化组织材料；不得标注为运营商正式模板。,medium,adapted,not_ready,template,original_textbook;ai_rewritten,professional_conclusion,after_review,pending,pending,not_required,review_pending,not_applicable,not_started,not_ready,仍需确认模板来源、版权边界和教学表达是否清楚。,补充KPI类与测试指标类结构对照说明并提交编辑复核。,completed,V04-BATCH-P4T3-001,P4-T3新增报告输出、客户沟通、截图媒体和指标结论边界风险，需要V0.4结构化治理。
BF-V04-P4T3-004,node_master,P4T3-N04,P4-T3,detail_capability,对比指标并写出结论边界,high风险；覆盖率、采样点和弱覆盖变化可能被误写成优化已达标,V0.4,professional;editorial;student_text;teaching_validation,threshold;conclusion;data_source,professional_expert;editor;course_teacher;teaching_reviewer,no,not_applicable,no,not_needed,no,not_applicable,no,none,not_required,uncertain_conclusion,none,not_applicable,teaching_only,学生端必须区分改善、达标、劣化、未闭环和需二次分析。,source_adapted,仅用于训练指标结论边界；不得把教材阈值或案例结论泛化为行业统一标准。,high,adapted,not_ready,table,original_textbook;ai_rewritten,professional_conclusion,after_review,pending,pending,not_required,review_pending,not_applicable,not_started,not_ready,仍需专业教师确认覆盖指标解释和结论边界。,将覆盖方案对比表改写为教学化指标对比表并提交专业复核。,completed,V04-BATCH-P4T3-001,P4-T3新增报告输出、客户沟通、截图媒体和指标结论边界风险，需要V0.4结构化治理。
BF-V04-P4T3-005,node_master,P4T3-N05,P4-T3,detail_capability,编写典型案例分析段落,high风险；典型案例涉及具体站点名称、截图和优化效果结论,V0.4,professional;media;editorial;data_security;student_text,case_logic;data_security;tool_screenshot;conclusion,professional_expert;media_designer;editor;data_security_officer;course_teacher,no,not_applicable,yes,pending,yes,pending,no,location;network_parameter;image_metadata,pending,uncertain_conclusion,none,not_applicable,teaching_only,站点案例和测试截图必须脱敏、重绘并保留适用边界。,source_adapted,仅作为教学案例来源；不得裸用真实站点、截图或工程结论。,high,adapted;redrawn;anonymized,not_ready,case;screenshot,original_textbook;ai_rewritten,professional_conclusion,after_redaction,pending,pending,pending,review_pending,not_applicable,not_started,not_ready,仍需媒体审查、数据安全审查和专业案例逻辑复核。,形成教学化越区覆盖案例重绘稿并删除或泛化具体站点信息。,completed,V04-BATCH-P4T3-001,P4-T3新增报告输出、客户沟通、截图媒体和指标结论边界风险，需要V0.4结构化治理。
BF-V04-P4T3-006,node_master,P4T3-N06,P4-T3,detail_capability,修订报告表达并准备客户沟通,high风险；客户沟通内容可能形成未经授权的对外承诺或验收承诺,V0.4,professional;editorial;student_text;teaching_validation,customer_communication;publication_boundary;conclusion,professional_expert;editor;course_teacher;teaching_reviewer,no,not_applicable,no,not_needed,yes,pending,no,none,not_required,external_commitment,customer_statement_boundary,pending,teaching_only,沟通提纲必须保留待确认问题，不得替代真实客户沟通话术。,source_adapted,仅用于课堂职业表达训练；不得作为企业对外声明或客户承诺。,high,adapted;teaching_simulation,not_ready,worksheet;script,original_textbook;ai_rewritten,professional_conclusion,after_review,pending,pending,not_required,review_pending,not_applicable,not_started,not_ready,仍需编辑复核、专业复核和教学验证门禁。,补充可说、不能说、待确认三栏客户沟通量规后再评审。,completed,V04-BATCH-P4T3-001,P4-T3新增报告输出、客户沟通、截图媒体和指标结论边界风险，需要V0.4结构化治理。
BF-V04-P4T3-007,binding_master,P4T3-W02,P4-T3,assessment_output,报告证据链清单,high风险；证据链清单可能暴露真实实施记录、网元信息或工作单信息,V0.4,professional;editorial;data_security;teaching_validation,data_source;authorization;publication_boundary,professional_expert;editor;data_security_officer;teaching_reviewer,no,not_applicable,pending,pending,yes,pending,no,location;work_order;network_parameter,pending,none,none,not_applicable,teaching_only,证据链清单必须使用教学模拟或脱敏材料。,teaching_simulation,仅用于课堂训练证据归类和报告依据组织。,high,teaching_simulation;anonymized,not_ready,form,ai_rewritten;teaching_simulation,work_order;professional_conclusion,after_redaction,pending,pending,not_required,review_pending,not_applicable,not_started,not_ready,仍需数据安全和教学验证门禁。,生成脱敏证据链样表并确认字段不暴露真实工程信息。,completed,V04-BATCH-P4T3-001,P4-T3新增报告输出、客户沟通、截图媒体和指标结论边界风险，需要V0.4结构化治理。
BF-V04-P4T3-008,binding_master,P4T3-W03,P4-T3,assessment_output,报告结构草稿,medium风险；报告结构草稿若只列标题会回到大纲式教材问题,V0.4,editorial;student_text;teaching_validation,template;publication_boundary,editor;course_teacher;teaching_reviewer,no,not_applicable,no,not_needed,no,not_applicable,no,none,not_required,none,none,not_applicable,teaching_only,结构草稿必须说明每部分证据功能，不得只列章节标题。,source_adapted,仅用于训练材料组织，不作为正式运营商模板。,medium,adapted,not_ready,worksheet,ai_rewritten,professional_conclusion,after_review,not_required,pending,not_required,review_pending,not_applicable,not_started,not_ready,仍需学生正文可读性和教学验证门禁。,补充材料功能栏和示例答案后再评审。,completed,V04-BATCH-P4T3-001,P4-T3新增报告输出、客户沟通、截图媒体和指标结论边界风险，需要V0.4结构化治理。
BF-V04-P4T3-009,binding_master,P4T3-W04,P4-T3,assessment_output,指标对比结论段,high风险；学生可能忽略样本规模变化和覆盖率下降而得出错误结论,V0.4,professional;editorial;student_text;teaching_validation,threshold;conclusion;data_source,professional_expert;editor;course_teacher;teaching_reviewer,no,not_applicable,no,not_needed,no,not_applicable,no,none,not_required,uncertain_conclusion,none,not_applicable,teaching_only,指标结论段必须说明判断、依据、边界和需二次分析内容。,source_adapted,仅用于教学化结论训练；不得作为真实优化报告结论。,high,adapted,not_ready,worksheet;rubric,ai_rewritten;original_textbook,professional_conclusion,after_review,pending,pending,not_required,review_pending,not_applicable,not_started,not_ready,仍需专业复核指标口径和教学验证。,制作错误结论与修正结论对照样例后提交专业教师确认。,completed,V04-BATCH-P4T3-001,P4-T3新增报告输出、客户沟通、截图媒体和指标结论边界风险，需要V0.4结构化治理。
BF-V04-P4T3-010,binding_master,P4T3-W05,P4-T3,assessment_output,典型案例分析段,high风险；案例分析段可能复制未经脱敏的站点名称、截图结论和优化处方,V0.4,professional;media;editorial;data_security;student_text,case_logic;data_security;tool_screenshot;conclusion,professional_expert;media_designer;editor;data_security_officer;course_teacher,no,not_applicable,yes,pending,yes,pending,no,location;network_parameter;image_metadata,pending,uncertain_conclusion,none,not_applicable,teaching_only,案例分析段必须泛化站点信息并说明适用边界。,source_adapted,仅用于教学案例分析，不得作为真实工程案例发布。,high,adapted;anonymized,not_ready,worksheet;case,ai_rewritten;original_textbook,professional_conclusion,after_redaction,pending,pending,pending,review_pending,not_applicable,not_started,not_ready,仍需专业、媒体和数据安全门禁。,生成教学化案例文字版并替换真实站点标识后再评审。,completed,V04-BATCH-P4T3-001,P4-T3新增报告输出、客户沟通、截图媒体和指标结论边界风险，需要V0.4结构化治理。
